gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS09580,-1.405067654,1.23351e-14,8.00139e-14,WP_039755993.1,clpB1 Synpcc7942_1089,ATP-dependent chaperone ClpB,Synpcc7942_1089,tier1:gene ID
gene-H6G84_RS10015,-1.279988506,1.78354e-20,1.8237000000000002e-19,WP_039756002.1,,aspartate kinase,,unresolved
gene-H6G84_RS13715,-2.585302142,3.7129699999999997e-50,3.01426e-48,WP_040113188.1,,hypothetical protein,,unresolved
gene-H6G84_RS13645,-0.459314831,0.2583654,0.309553178,WP_040113190.1,,hypothetical protein,,unresolved
gene-H6G84_RS13790,0.686914218,0.000683861,0.001335323,WP_040113202.1,,hypothetical protein,,unresolved
gene-H6G84_RS13795,1.155479985,1.19177e-06,3.32579e-06,WP_040113203.1,,hypothetical protein,,unresolved
gene-H6G84_RS13800,0.443193452,0.005754913,0.009672153,WP_040113204.1,,bifunctional DNA primase/polymerase,,unresolved
gene-H6G84_RS13775,0.119756309,0.547445856,0.599349182,WP_040113205.1,,HK97 family phage prohead protease,,unresolved
gene-H6G84_RS13780,0.158567446,0.542701525,0.594884364,WP_040113206.1,,hypothetical protein,,unresolved
gene-H6G84_RS12780,-1.131014127,0.010637286,0.017125774,WP_041674884.1,,hypothetical protein,,unresolved
gene-H6G84_RS12705,1.783019404,6.368e-14,3.83368e-13,WP_041674885.1,,hypothetical protein,,unresolved
gene-H6G84_RS01530,-1.480306459,2.64341e-09,1.00735e-08,WP_041674898.1,,hypothetical protein,,unresolved
gene-H6G84_RS13910,-3.641731891,7.02863e-42,3.0370500000000002e-40,WP_041674944.1,,hypothetical protein,,unresolved
gene-H6G84_RS05555,0.268618022,0.148044676,0.188593289,WP_049749323.1,,5-(carboxyamino)imidazole ribonucleotide mutase,,unresolved
gene-H6G84_RS12590,-3.448152003,9.1047e-77,4.8783e-74,WP_049749325.1,,hypothetical protein,,unresolved
gene-H6G84_RS09615,0.66899121,0.000796464,0.001539487,WP_049749327.1,pacL Synpcc7942_1082,cation-translocating P-type ATPase,Synpcc7942_1082,tier1:gene ID
gene-H6G84_RS02300,1.011773398,4.70665e-07,1.39173e-06,WP_049749333.1,,hypothetical protein,,unresolved
gene-H6G84_RS01175,0.632834352,1.66301e-05,4.09862e-05,WP_049749354.1,,hypothetical protein,,unresolved
gene-H6G84_RS05115,1.682788353,4.13769e-33,1.0975099999999998e-31,WP_070105207.1,pgl Synpcc7942_0529,6-phosphogluconolactonase,Synpcc7942_0529,tier1:gene ID
gene-H6G84_RS07825,-0.216268535,0.143088681,0.182714289,WP_070105208.1,dnaN Synpcc7942_0001,DNA polymerase III subunit beta,Synpcc7942_0001,tier1:gene ID
gene-H6G84_RS13160,-0.812501836,0.002275007,0.004104205,WP_071818110.1,,photosystem II reaction center protein Ycf12,,unresolved
gene-H6G84_RS12550,0.409794648,0.021015412,0.031754251,WP_071818112.1,,helix-turn-helix transcriptional regulator,,unresolved
gene-H6G84_RS10945,-0.7303008,0.010669437,0.01716722,WP_071818118.1,,hypothetical protein,,unresolved
gene-H6G84_RS11470,-0.811364844,0.013468998,0.021163311,WP_071818119.1,,hypothetical protein,,unresolved
gene-H6G84_RS12560,0.32794726,0.030266069,0.044477673,WP_081429504.1,,helix-turn-helix domain-containing protein,,unresolved
gene-H6G84_RS02020,-0.090775171,0.569325488,0.619757409,WP_081429506.1,,ribonuclease HI,,unresolved
gene-H6G84_RS09680,0.136388758,0.374930876,0.429982798,WP_126146592.1,,hypothetical protein,,unresolved
gene-H6G84_RS12515,-3.164743786,1.7808e-51,1.5389499999999998e-49,WP_126146781.1,,hypothetical protein,,unresolved
gene-H6G84_RS02715,-0.930219643,7.25224e-11,3.2544e-10,WP_126147644.1,,hypothetical protein,,unresolved
