gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS08440,0.106099743,0.481942995,0.536181596,WP_011242559.1,trpS syc0245_c,tryptophan--tRNA ligase,Synpcc7942_1308,multi:Locus Tag
gene-H6G84_RS08445,0.254084411,0.115612711,0.149698624,WP_011242560.1,Synpcc7942_1307,ABC transporter permease,Synpcc7942_1307,tier1:gene ID
gene-H6G84_RS08450,-0.033757141,0.812954019,0.841539342,WP_011242561.1,Synpcc7942_1306,DUF3172 domain-containing protein,Synpcc7942_1306,tier1:gene ID
gene-H6G84_RS08465,-0.246494337,0.13947474,0.178781258,WP_011242564.1,Synpcc7942_1303,hypothetical protein,Synpcc7942_1303,tier1:gene ID
gene-H6G84_RS08475,-2.174827827,2.0000000000000002e-28,3.9000000000000004e-27,WP_011242566.1,recQ syc0252_c,RecQ family ATP-dependent DNA helicase,,unresolved
gene-H6G84_RS08480,-0.394858492,0.049450647,0.069542406,WP_011242567.1,Synpcc7942_1300,5-formyltetrahydrofolate cyclo-ligase,Synpcc7942_1300,tier1:gene ID
gene-H6G84_RS08485,0.472439289,0.005440787,0.009184542,WP_011242568.1,Synpcc7942_1299,DUF362 domain-containing protein,Synpcc7942_1299,tier1:gene ID
gene-H6G84_RS08495,0.122867418,0.502902576,0.55672562,WP_011242570.1,Synpcc7942_1297,NADP-dependent malic enzyme,Synpcc7942_1297,tier1:gene ID
gene-H6G84_RS08500,-0.98507828,5.7942e-05,0.00013222,WP_011242571.1,Synpcc7942_1296,2OG-Fe(II) oxygenase family protein,Synpcc7942_1296,tier1:gene ID
gene-H6G84_RS08525,-2.289383823,2.29032e-31,5.38224e-30,WP_011242576.1,smtB Synpcc7942_1291,Zn(II)-sensing metalloregulatory transcriptional repressor SmtB,Synpcc7942_1291,tier1:gene ID
gene-H6G84_RS08590,-0.361794,0.056008771,0.078068417,WP_011242588.1,rpmI rpl35 Synpcc7942_1278,50S ribosomal protein L35,Synpcc7942_1278,tier1:gene ID
gene-H6G84_RS08595,-0.162078672,0.345350401,0.400175482,WP_011242589.1,rplT rpl20 Synpcc7942_1277,50S ribosomal protein L20,Synpcc7942_1277,tier1:gene ID
gene-H6G84_RS08600,0.367746143,0.043254344,0.061604672,WP_011242590.1,Synpcc7942_1276,transporter substrate-binding domain-containing protein,Synpcc7942_1276,tier1:gene ID
gene-H6G84_RS08610,-0.900561695,3.46412e-09,1.30894e-08,WP_011242592.1,Synpcc7942_1274,tetratricopeptide repeat protein,Synpcc7942_1274,tier1:gene ID
gene-H6G84_RS08625,-1.902712714,3.5686899999999997e-35,1.05061e-33,WP_011242595.1,Synpcc7942_1271,hypothetical protein,Synpcc7942_1271,tier1:gene ID
gene-H6G84_RS08640,0.316605842,0.034712043,0.050430349,WP_011242597.1,Synpcc7942_1268,phosphoglucomutase/phosphomannomutase family protein,Synpcc7942_1268,tier1:gene ID
gene-H6G84_RS08670,-0.718795092,1.48296e-06,4.09152e-06,WP_011242603.1,Synpcc7942_1262,NAD(P)/FAD-dependent oxidoreductase,Synpcc7942_1262,tier1:gene ID
gene-H6G84_RS08700,1.35083649,3.8462e-18,3.35634e-17,WP_011242609.1,Synpcc7942_1256,glutathione S-transferase family protein,Synpcc7942_1256,tier1:gene ID
gene-H6G84_RS08705,-0.370079837,0.026194231,0.038899305,WP_011242610.1,Synpcc7942_1255,aminotransferase class V-fold PLP-dependent enzyme,Synpcc7942_1255,tier1:gene ID
gene-H6G84_RS08725,1.790747979,6.69538e-18,5.69426e-17,WP_011242613.1,tsaD Synpcc7942_1251,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,Synpcc7942_1251,tier1:gene ID
gene-H6G84_RS08730,-0.885072034,4.12237e-06,1.09237e-05,WP_011242614.1,Synpcc7942_1250,photosystem I reaction center subunit III,Synpcc7942_1250,tier1:gene ID
gene-H6G84_RS08745,0.801269362,1.51942e-05,3.75511e-05,WP_011242617.1,Synpcc7942_1247,hypothetical protein,Synpcc7942_1247,tier1:gene ID
gene-H6G84_RS08765,-0.949778474,3.36007e-05,7.89616e-05,WP_011242621.1,Synpcc7942_1243,Crp/Fnr family transcriptional regulator,Synpcc7942_1243,tier1:gene ID
gene-H6G84_RS08775,-0.952730503,3.5329e-09,1.33117e-08,WP_011242622.1,ntcB Synpcc7942_1242,LysR family transcriptional regulator,Synpcc7942_1242,tier1:gene ID
gene-H6G84_RS08780,-2.273482247,1.47108e-42,6.56838e-41,WP_011242623.1,nirB Synpcc7942_1241,HEAT repeat domain-containing protein,Synpcc7942_1241,tier1:gene ID
gene-H6G84_RS08785,0.322755151,0.180011775,0.224094584,WP_011242624.1,,ferredoxin--nitrite reductase,,unresolved
gene-H6G84_RS08790,-0.318250622,0.112140888,0.14597932,WP_011242625.1,nrtA Synpcc7942_1239,ABC transporter substrate-binding protein,Synpcc7942_1239,tier1:gene ID
gene-H6G84_RS08795,-0.533657821,0.002211771,0.003995506,WP_011242626.1,nrtB Synpcc7942_1238,nitrate ABC transporter permease,Synpcc7942_1238,tier1:gene ID
gene-H6G84_RS08800,-0.499959976,0.00432497,0.007455982,WP_011242627.1,nrtC Synpcc7942_1237,nitrate ABC transporter ATP-binding protein,Synpcc7942_1237,tier1:gene ID
gene-H6G84_RS08805,-0.48413423,0.002683551,0.004773727,WP_011242628.1,nrtD Synpcc7942_1236,nitrate ABC transporter ATP-binding protein,Synpcc7942_1236,tier1:gene ID
gene-H6G84_RS08820,-0.419062199,0.10603293,0.138770014,WP_011242631.1,Synpcc7942_1233,potassium channel family protein,Synpcc7942_1233,tier1:gene ID
gene-H6G84_RS08825,0.463529214,0.00679711,0.011275206,WP_011242632.1,petC Synpcc7942_1232,cytochrome b6-f complex iron-sulfur subunit,Synpcc7942_1232,tier1:gene ID
gene-H6G84_RS08830,0.785461041,3.50981e-05,8.2264e-05,WP_011242633.1,petA Synpcc7942_1231,apocytochrome f,Synpcc7942_1231,tier1:gene ID
gene-H6G84_RS08840,0.756481979,5.83346e-07,1.70796e-06,WP_011242635.1,cobM syc0321_d,precorrin-4 C(11)-methyltransferase,Synpcc7942_1229,multi:Locus Tag
gene-H6G84_RS08850,-1.800458073,1.08872e-18,9.7875e-18,WP_011242637.1,Synpcc7942_1227,DNA repair protein RadC,Synpcc7942_1227,tier1:gene ID
gene-H6G84_RS08870,1.037611118,4.8397e-10,1.98858e-09,WP_011242640.1,Synpcc7942_1224,HlyD family efflux transporter periplasmic adaptor subunit,Synpcc7942_1224,tier1:gene ID
gene-H6G84_RS08880,0.60144154,0.002030267,0.003692523,WP_011242642.1,truB Synpcc7942_1222 sef0005,tRNA pseudouridine(55) synthase TruB,Synpcc7942_1222,tier1:gene ID
gene-H6G84_RS08890,-0.041884819,0.79745308,0.828695423,WP_011242644.1,rpmA rpl27 Synpcc7942_1220 sef0007,50S ribosomal protein L27,Synpcc7942_1220,tier1:gene ID
gene-H6G84_RS08905,0.979208079,3.23961e-07,9.86241e-07,WP_011242647.1,kaiB Synpcc7942_1217 see0010,circadian clock protein KaiB,Synpcc7942_1217,tier1:gene ID
gene-H6G84_RS08910,1.451066125,5.46991e-17,4.36128e-16,WP_011242648.1,kaiC Synpcc7942_1216 see0011,circadian clock protein KaiC,Synpcc7942_1216,tier1:gene ID
gene-H6G84_RS08940,0.318502481,0.060825189,0.084343002,WP_011242653.1,SEE0016 Synpcc7942_1211,DUF2442 domain-containing protein,Synpcc7942_1211,tier1:gene ID
gene-H6G84_RS08950,-0.484446699,0.00494502,0.008400576,WP_011242655.1,SEE0018 Synpcc7942_1209,DUF2442 domain-containing protein,Synpcc7942_1209,tier1:gene ID
gene-H6G84_RS08955,-0.313855136,0.04265238,0.060820502,WP_011242656.1,Synpcc7942_1208,type II toxin-antitoxin system prevent-host-death family antitoxin,Synpcc7942_1208,tier1:gene ID
gene-H6G84_RS08960,-0.032759588,0.865546812,0.884440186,WP_011242657.1,SEE0020 Synpcc7942_1207,Txe/YoeB family addiction module toxin,Synpcc7942_1207,tier1:gene ID
gene-H6G84_RS08980,-1.056773306,0.000426967,0.000858098,WP_011242660.1,Synpcc7942_1203,type II toxin-antitoxin system VapC family toxin,Synpcc7942_1203,tier1:gene ID
gene-H6G84_RS09000,-0.695719906,0.000203331,0.000426565,WP_011242664.1,syc0351_d,RNA methyltransferase,,unresolved
gene-H6G84_RS09010,0.994735671,1.03045e-10,4.57048e-10,WP_011242666.1,,indole-3-glycerol phosphate synthase TrpC,,unresolved
gene-H6G84_RS09015,-1.134477358,1.7601e-14,1.12269e-13,WP_011242667.1,SEF0032 Synpcc7942_1196,DUF3148 domain-containing protein,Synpcc7942_1196,tier1:gene ID
gene-H6G84_RS09050,1.279556654,3.4835e-09,1.31441e-08,WP_011242674.1,mobA Synpcc7942_1189 se00039,molybdenum cofactor guanylyltransferase,Synpcc7942_1189,tier1:gene ID
gene-H6G84_RS09055,0.09671908,0.545249617,0.597433016,WP_011242675.1,SEF0040 Synpcc7942_1188,DUF4346 domain-containing protein,Synpcc7942_1188,tier1:gene ID
gene-H6G84_RS09070,0.765110217,2.6229e-05,6.26828e-05,WP_011242677.1,SEF0043 Synpcc7942_1185,hypothetical protein,Synpcc7942_1185,tier1:gene ID
gene-H6G84_RS09090,1.732702406,5.04079e-23,6.34004e-22,WP_011242681.1,ndhK Synpcc7942_1181,NADH dehydrogenase subunit K,Synpcc7942_1181,tier1:gene ID
gene-H6G84_RS09095,1.837472902,2.7e-26,4.528e-25,WP_011242682.1,,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit C,,unresolved
gene-H6G84_RS09100,1.153726912,2.78082e-14,1.7529e-13,WP_011242683.1,rubR Synpcc7942_1179,rubredoxin,Synpcc7942_1179,tier1:gene ID
gene-H6G84_RS09110,-0.111872642,0.512758167,0.56610107,WP_011242685.1,psbE Synpcc7942_1177 see0052,cytochrome b559 subunit alpha,Synpcc7942_1177,tier1:gene ID
gene-H6G84_RS09115,-0.071639597,0.686307038,0.726438781,WP_011242686.1,psbF Synpcc7942_1176 see0053,cytochrome b559 subunit beta,Synpcc7942_1176,tier1:gene ID
gene-H6G84_RS09145,0.168150348,0.261081473,0.312388239,WP_011242692.1,ispF Synpcc7942_1170,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Synpcc7942_1170,tier1:gene ID
gene-H6G84_RS09190,-0.440018215,0.04095112,0.058667407,WP_011242700.1,Synpcc7942_1162,DMT family transporter,Synpcc7942_1162,tier1:gene ID
gene-H6G84_RS09195,-0.9884098,9.15164e-05,0.000201954,WP_011242701.1,Synpcc7942_1161,DMT family transporter,Synpcc7942_1161,tier1:gene ID
gene-H6G84_RS09200,-0.980913302,6.71636e-07,1.94101e-06,WP_011242702.1,Synpcc7942_1160,NAD-dependent epimerase/dehydratase family protein,Synpcc7942_1160,tier1:gene ID
gene-H6G84_RS09205,1.000097439,3.4544e-07,1.04806e-06,WP_011242703.1,Synpcc7942_1159,MarR family transcriptional regulator,Synpcc7942_1159,tier1:gene ID
gene-H6G84_RS09225,-0.494455868,0.051509847,0.072173055,WP_011242707.1,,hypothetical protein,,unresolved
gene-H6G84_RS09235,-1.622212803,2.15298e-11,1.03181e-10,WP_011242709.1,Synpcc7942_1153,YfjP family GTPase,Synpcc7942_1153,tier1:gene ID
gene-H6G84_RS09245,1.948548557,7.32709e-33,1.9244399999999998e-31,WP_011242711.1,panC/cmk Synpcc7942_1151,bifunctional pantoate--beta-alanine ligase/(d)CMP kinase,Synpcc7942_1151,tier1:gene ID
gene-H6G84_RS09250,0.377210445,0.033731616,0.049085823,WP_011242712.1,,DUF305 domain-containing protein,,unresolved
gene-H6G84_RS09265,-4.088463094,2.84432e-75,1.26999e-72,WP_011242714.1,Synpcc7942_1148,HD domain-containing protein,Synpcc7942_1148,tier1:gene ID
gene-H6G84_RS09270,-1.461047595,2.01252e-10,8.66806e-10,WP_011242715.1,Synpcc7942_1147,hypothetical protein,Synpcc7942_1147,tier1:gene ID
gene-H6G84_RS09275,0.365502634,0.013614387,0.021366691,WP_011242716.1,syc0404_d,BolA family transcriptional regulator,,unresolved
gene-H6G84_RS09295,-0.616803354,2.0115e-05,4.89447e-05,WP_011242719.1,,NYN domain-containing protein,,unresolved
gene-H6G84_RS09300,0.69698285,1.98963e-06,5.43345e-06,WP_011242720.1,metG Synpcc7942_1142,methionine--tRNA ligase,Synpcc7942_1142,tier1:gene ID
gene-H6G84_RS09325,-0.157236329,0.362589309,0.417437369,WP_011242725.1,Synpcc7942_1137,DUF561 domain-containing protein,Synpcc7942_1137,tier1:gene ID
gene-H6G84_RS09335,-0.386907327,0.236053878,0.28576066,WP_011242727.1,,gamma-glutamylcyclotransferase,,unresolved
gene-H6G84_RS09370,-1.268434233,3.00445e-11,1.4123e-10,WP_011242730.1,Synpcc7942_1131,ferredoxin-thioredoxin reductase variable chain,Synpcc7942_1131,tier1:gene ID
gene-H6G84_RS09385,0.948034143,1.24095e-05,3.10702e-05,WP_011242733.1,Synpcc7942_1128,DUF4214 domain-containing protein,Synpcc7942_1128,tier1:gene ID
gene-H6G84_RS09390,0.894631539,9.64303e-08,3.10128e-07,WP_011242734.1,Synpcc7942_1127,TldD/PmbA family protein,Synpcc7942_1127,tier1:gene ID
gene-H6G84_RS09395,-1.250196418,1.06826e-15,7.59114e-15,WP_011242735.1,Synpcc7942_1126,ABC transporter permease,Synpcc7942_1126,tier1:gene ID
gene-H6G84_RS09410,0.784795611,1.83963e-05,4.5008e-05,WP_011242738.1,rpsR rps18 Synpcc7942_1123,30S ribosomal protein S18,Synpcc7942_1123,tier1:gene ID
gene-H6G84_RS09415,0.671048732,0.000483316,0.000963396,WP_011242739.1,rpmG rpl33 Synpcc7942_1122,50S ribosomal protein L33,Synpcc7942_1122,tier1:gene ID
gene-H6G84_RS09440,-0.248759803,0.187408664,0.232438801,WP_011242744.1,Synpcc7942_1117,hypothetical protein,Synpcc7942_1117,tier1:gene ID
gene-H6G84_RS09450,-0.414656892,0.004562478,0.007807927,WP_011242746.1,Synpcc7942_1115,universal stress protein,Synpcc7942_1115,tier1:gene ID
gene-H6G84_RS09455,-0.152838777,0.278038101,0.330170245,WP_011242747.1,Synpcc7942_1114,ribosome biogenesis GTPase YlqF,Synpcc7942_1114,tier1:gene ID
gene-H6G84_RS09460,0.09480172,0.53861934,0.590651336,WP_011242748.1,,AI-2E family transporter,,unresolved
gene-H6G84_RS09465,0.361761539,0.018242393,0.027942465,WP_011242749.1,Synpcc7942_1112,RluA family pseudouridine synthase,Synpcc7942_1112,tier1:gene ID
gene-H6G84_RS09475,-0.644263087,1.80072e-05,4.4164e-05,WP_011242751.1,Synpcc7942_1110,response regulator,Synpcc7942_1110,tier1:gene ID
gene-H6G84_RS09485,-1.103939852,4.09762e-05,9.51258e-05,WP_011242753.1,Synpcc7942_1108,HU family DNA-binding protein,Synpcc7942_1108,tier1:gene ID
gene-H6G84_RS09490,-0.738481763,3.04903e-07,9.30336e-07,WP_011242754.1,Synpcc7942_1107,pentapeptide repeat-containing protein,Synpcc7942_1107,tier1:gene ID
gene-H6G84_RS09495,-1.047093383,2.53739e-08,8.72614e-08,WP_011242755.1,Synpcc7942_1106,CRR6 family NdhI maturation factor,Synpcc7942_1106,tier1:gene ID
gene-H6G84_RS09500,-0.376699546,0.013630253,0.021379068,WP_011242756.1,Synpcc7942_1105,iron-sulfur cluster carrier protein ApbC,Synpcc7942_1105,tier1:gene ID
gene-H6G84_RS09515,0.38138102,0.030912139,0.045327652,WP_011242759.1,Synpcc7942_1102,hypothetical protein,Synpcc7942_1102,tier1:gene ID
gene-H6G84_RS09520,0.962823213,2.82051e-08,9.62567e-08,WP_011242760.1,Synpcc7942_1101,trypsin-like peptidase domain-containing protein,Synpcc7942_1101,tier1:gene ID
gene-H6G84_RS09530,-0.470381518,0.009382183,0.01525174,WP_011242762.1,menG Synpcc7942_1099,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE,Synpcc7942_1099,tier1:gene ID
gene-H6G84_RS09545,-1.00122829,4.12344e-10,1.70737e-09,WP_011242766.1,Synpcc7942_1095,hypothetical protein,Synpcc7942_1095,tier1:gene ID
gene-H6G84_RS09560,-0.563033588,0.001343349,0.002504407,WP_011242769.1,Synpcc7942_1092,class I SAM-dependent methyltransferase,Synpcc7942_1092,tier1:gene ID
gene-H6G84_RS09570,-1.087041467,2.65658e-06,7.18161e-06,WP_011242770.1,Synpcc7942_1091,SAM-dependent methyltransferase,Synpcc7942_1091,tier1:gene ID
gene-H6G84_RS09575,1.442865994,3.11482e-17,2.53635e-16,WP_011242771.1,Synpcc7942_1090,TPM domain-containing protein,Synpcc7942_1090,tier1:gene ID
gene-H6G84_RS09585,0.069523166,0.694557411,0.733722123,WP_011242773.1,petE Synpcc7942_1088,plastocyanin,Synpcc7942_1088,tier1:gene ID
gene-H6G84_RS09595,-1.807182061,1.67432e-21,1.85132e-20,WP_011242775.1,hemE Synpcc7942_1086,uroporphyrinogen decarboxylase,Synpcc7942_1086,tier1:gene ID
gene-H6G84_RS09600,0.409466697,0.004772069,0.008132553,WP_011242776.1,,1%2C4-alpha-glucan branching protein GlgB,,unresolved
gene-H6G84_RS09620,-0.018961677,0.901778114,0.916140906,WP_011242780.1,Synpcc7942_1081,TrkA family potassium uptake protein,Synpcc7942_1081,tier1:gene ID
gene-H6G84_RS09630,0.629155319,2.86542e-05,6.82351e-05,WP_011242782.1,recG Synpcc7942_1079,ATP-dependent DNA helicase RecG,Synpcc7942_1079,tier1:gene ID
gene-H6G84_RS09645,-0.483491468,0.052636632,0.073636312,WP_011242785.1,Synpcc7942_1076,YbjN domain-containing protein,Synpcc7942_1076,tier1:gene ID
gene-H6G84_RS09650,-0.759784831,0.002363736,0.004247114,WP_011242786.1,Synpcc7942_1075,hypothetical protein,Synpcc7942_1075,tier1:gene ID
gene-H6G84_RS09655,-0.5081839,0.033335056,0.048541236,WP_011242787.1,Synpcc7942_1074,hypothetical protein,Synpcc7942_1074,tier1:gene ID
gene-H6G84_RS09660,0.540900595,0.001667978,0.003066927,WP_011242788.1,rph Synpcc7942_1073,ribonuclease PH,Synpcc7942_1073,tier1:gene ID
gene-H6G84_RS09675,0.045817697,0.761715884,0.795793347,WP_011242791.1,Synpcc7942_1070,aldo/keto reductase,Synpcc7942_1070,tier1:gene ID
gene-H6G84_RS09690,0.213344422,0.239273364,0.289265949,WP_011242794.1,Synpcc7942_1067,DUF4145 domain-containing protein,Synpcc7942_1067,tier1:gene ID
gene-H6G84_RS09695,-0.016278961,0.914973805,0.927989741,WP_011242795.1,Synpcc7942_1065,type I restriction endonuclease,Synpcc7942_1065,tier1:gene ID
gene-H6G84_RS09705,-0.264914872,0.223886496,0.272880766,WP_011242797.1,Synpcc7942_1063,DUF4351 domain-containing protein,Synpcc7942_1063,tier1:gene ID
gene-H6G84_RS09715,0.272910193,0.141231418,0.180600939,WP_011242799.1,Synpcc7942_1061,DUF4351 domain-containing protein,Synpcc7942_1061,tier1:gene ID
gene-H6G84_RS09725,0.971554912,2.72419e-11,1.29372e-10,WP_011242800.1,Synpcc7942_1060,type I restriction-modification system subunit M,Synpcc7942_1060,tier1:gene ID
gene-H6G84_RS09730,0.785862482,1.90649e-05,4.6601e-05,WP_011242801.1,Synpcc7942_1059,DUF1517 domain-containing protein,Synpcc7942_1059,tier1:gene ID
gene-H6G84_RS09735,1.134077818,1.01744e-11,5.0948e-11,WP_011242802.1,,sulfur carrier protein ThiS,,unresolved
gene-H6G84_RS09745,0.075639483,0.578198005,0.627885065,WP_011242804.1,Synpcc7942_1056,helix-turn-helix domain-containing protein,Synpcc7942_1056,tier1:gene ID
gene-H6G84_RS09755,-0.806526699,0.000163668,0.00034799,WP_011242806.1,cpcE Synpcc7942_1054,HEAT repeat domain-containing protein,Synpcc7942_1054,tier1:gene ID
gene-H6G84_RS09785,-1.763573254,7.97633e-17,6.24812e-16,WP_011242807.1,cpcA1 cpcA Synpcc7942_1048; cpcA2 Synpcc7942_1053,phycocyanin subunit alpha,Synpcc7942_1053,tier1:gene ID
gene-H6G84_RS09760,-1.095571133,8.24364e-10,3.29131e-09,WP_011242807.1,cpcA1 cpcA Synpcc7942_1048; cpcA2 Synpcc7942_1053,phycocyanin subunit alpha,Synpcc7942_1053,tier1:gene ID
gene-H6G84_RS09790,-2.166703853,1.71e-26,2.923e-25,WP_011242808.1,cpcB1 cpcB Synpcc7942_1047; cpcB2 Synpcc7942_1052,phycocyanin subunit beta,Synpcc7942_1052,tier1:gene ID
gene-H6G84_RS09765,-1.429101713,3.42417e-14,2.12346e-13,WP_011242808.1,cpcB1 cpcB Synpcc7942_1047; cpcB2 Synpcc7942_1052,phycocyanin subunit beta,Synpcc7942_1052,tier1:gene ID
gene-H6G84_RS09770,-1.598961027,1.6250899999999999e-21,1.80648e-20,WP_011242809.1,Synpcc7942_1051,phycobilisome linker polypeptide,Synpcc7942_1051,tier1:gene ID
gene-H6G84_RS09775,-1.758973536,2.56476e-19,2.41087e-18,WP_011242810.1,Synpcc7942_1050,phycobilisome rod-core linker polypeptide,Synpcc7942_1050,tier1:gene ID
gene-H6G84_RS09805,-0.701492657,5.13212e-06,1.34477e-05,WP_011242816.1,Synpcc7942_1044,FAD-dependent thymidylate synthase,Synpcc7942_1044,tier1:gene ID
gene-H6G84_RS09815,-0.46195303,0.002705551,0.004803294,WP_011242818.1,Synpcc7942_1042,hypothetical protein,Synpcc7942_1042,tier1:gene ID
gene-H6G84_RS09825,-2.295321699,9.011770000000001e-32,2.23542e-30,WP_011242819.1,Synpcc7942_1040,GIY-YIG nuclease family protein,Synpcc7942_1040,tier1:gene ID
gene-H6G84_RS09830,0.780794628,0.005599341,0.009428432,WP_011242820.1,Synpcc7942_1039,nuclear transport factor 2 family protein,Synpcc7942_1039,tier1:gene ID
gene-H6G84_RS09860,-0.769203356,1.41766e-05,3.52966e-05,WP_011242826.1,Synpcc7942_1033,alpha-E domain-containing protein,Synpcc7942_1033,tier1:gene ID
gene-H6G84_RS09875,-0.086624703,0.559089899,0.610351198,WP_011242829.1,,branched-chain amino acid transaminase,,unresolved
gene-H6G84_RS09880,-0.209161208,0.162534463,0.204427149,WP_011242830.1,Synpcc7942_1028,alpha/beta fold hydrolase,Synpcc7942_1028,tier1:gene ID
gene-H6G84_RS09890,0.198302983,0.20989634,0.257586942,WP_011242832.1,rqcH Synpcc7942_1026,fibronectin-binding domain-containing protein,Synpcc7942_1026,tier1:gene ID
gene-H6G84_RS09910,0.175188638,0.269550172,0.321515989,WP_011242836.1,Synpcc7942_1022,DUF1350 family protein,Synpcc7942_1022,tier1:gene ID
gene-H6G84_RS09915,0.329336986,0.069189613,0.095162497,WP_011242837.1,Synpcc7942_1021,2-succinylbenzoate--CoA ligase,Synpcc7942_1021,tier1:gene ID
gene-H6G84_RS09920,0.188861108,0.243038281,0.293288088,WP_011242838.1,,o-succinylbenzoate synthase,,unresolved
gene-H6G84_RS09930,-0.834407261,4.76209e-06,1.25444e-05,WP_011242840.1,Synpcc7942_1018,hypothetical protein,Synpcc7942_1018,tier1:gene ID
gene-H6G84_RS09940,-0.861975691,1.10348e-06,3.09553e-06,WP_011242842.1,Synpcc7942_1016,chemotaxis protein CheW,Synpcc7942_1016,tier1:gene ID
gene-H6G84_RS09945,0.694434222,3.54399e-06,9.47541e-06,WP_011242843.1,Synpcc7942_1015,methyl-accepting chemotaxis protein,Synpcc7942_1015,tier1:gene ID
gene-H6G84_RS09960,0.44050324,0.009600822,0.015588244,WP_011242845.1,sphR Synpcc7942_1012,response regulator transcription factor,Synpcc7942_1012,tier1:gene ID
gene-H6G84_RS09970,-0.281763427,0.061934288,0.085792119,WP_011242847.1,Synpcc7942_1010,rRNA pseudouridine synthase,Synpcc7942_1010,tier1:gene ID
gene-H6G84_RS09985,1.0305479,9.30412e-08,2.99949e-07,WP_011242850.1,,class II fumarate hydratase,,unresolved
gene-H6G84_RS09990,0.917979827,6.58823e-08,2.15242e-07,WP_011242851.1,Synpcc7942_1006,tetratricopeptide repeat protein,Synpcc7942_1006,tier1:gene ID
gene-H6G84_RS09995,0.141249888,0.524087625,0.576367302,WP_011242852.1,Synpcc7942_1005,HAD family phosphatase,Synpcc7942_1005,tier1:gene ID
gene-H6G84_RS10035,-0.995495395,1.3862e-08,4.91223e-08,WP_011242859.1,rpmF rpl32 Synpcc7942_0997,50S ribosomal protein L32,Synpcc7942_0997,tier1:gene ID
gene-H6G84_RS10045,-0.78112695,0.000168758,0.000357393,WP_011242861.1,,DUF565 domain-containing protein,,unresolved
gene-H6G84_RS10055,0.124427505,0.368799269,0.423494745,WP_011242863.1,syc0551_d,DUF697 domain-containing protein,,unresolved
gene-H6G84_RS10065,-0.62278801,7.81841e-05,0.000173966,WP_011242865.1,pcxA Synpcc7942_0991,proton extrusion protein PcxA,Synpcc7942_0991,tier1:gene ID
