mit0604_id,locus_tag
MIT0604_00645,EW14_0645
MIT0604_00646,EW14_0646
MIT0604_00647,EW14_0647
MIT0604_00648,EW14_0648
MIT0604_00649,EW14_0649
MIT0604_00650,EW14_0650
MIT0604_00651,EW14_0651
MIT0604_00652,EW14_0652
MIT0604_00653,EW14_0653
MIT0604_00654,EW14_0654
MIT0604_00655,EW14_0655
MIT0604_00656,EW14_0656
MIT0604_00657,EW14_0657
MIT0604_00658,EW14_0658
MIT0604_00659,EW14_0659
MIT0604_00660,EW14_0660
MIT0604_00661,EW14_0661
MIT0604_00662,EW14_0662
MIT0604_00663,EW14_0663
MIT0604_00664,EW14_0664
MIT0604_00665,EW14_0665
MIT0604_00666,EW14_0666
MIT0604_00667,EW14_0667
MIT0604_00668,EW14_0668
MIT0604_00669,EW14_0669
MIT0604_00670,EW14_0670
MIT0604_00671,EW14_0671
MIT0604_00672,EW14_0672
MIT0604_00673,EW14_0673
MIT0604_00674,EW14_0674
MIT0604_00675,EW14_0675
MIT0604_00676,EW14_0676
MIT0604_00677,EW14_0677
MIT0604_00678,EW14_0678
MIT0604_00679,EW14_0679
MIT0604_00680,EW14_0680
MIT0604_00681,EW14_0681
MIT0604_00682,EW14_0682
MIT0604_00683,EW14_0683
MIT0604_00684,EW14_0684
MIT0604_00685,EW14_0685
MIT0604_00686,EW14_0686
MIT0604_00687,EW14_0687
MIT0604_00688,EW14_0688
MIT0604_00689,EW14_0689
MIT0604_00690,EW14_0690
MIT0604_00691,EW14_0691
MIT0604_00692,EW14_0692
MIT0604_00694,EW14_0694
MIT0604_00695,EW14_0695
MIT0604_00696,EW14_0696
MIT0604_00697,EW14_0697
MIT0604_00698,EW14_0698
MIT0604_00699,EW14_0699
MIT0604_00700,EW14_0700
MIT0604_00701,EW14_0701
MIT0604_00702,EW14_0702
MIT0604_00703,EW14_0703
MIT0604_00704,EW14_0704
MIT0604_00705,EW14_0705
MIT0604_00706,EW14_0706
MIT0604_00707,EW14_0707
MIT0604_00708,EW14_0708
MIT0604_00709,EW14_0709
MIT0604_00710,EW14_0710
MIT0604_00711,EW14_0711
MIT0604_00712,EW14_0712
MIT0604_00713,EW14_0713
MIT0604_00714,EW14_0714
MIT0604_00715,EW14_0715
MIT0604_00716,EW14_0716
MIT0604_00717,EW14_0717
MIT0604_00718,EW14_0718
MIT0604_00719,EW14_0719
MIT0604_00720,EW14_0720
MIT0604_00721,EW14_0721
MIT0604_00722,EW14_0722
MIT0604_00723,EW14_0723
MIT0604_00724,EW14_0724
MIT0604_00725,EW14_0725
MIT0604_00726,EW14_0726
MIT0604_00727,EW14_0727
MIT0604_00728,EW14_0728
MIT0604_00729,EW14_0729
MIT0604_00730,EW14_0730
MIT0604_00731,EW14_0731
MIT0604_00732,EW14_0732
MIT0604_00733,EW14_0733
MIT0604_00734,EW14_0734
MIT0604_00735,EW14_0735
MIT0604_00736,EW14_0736
MIT0604_00737,EW14_0737
MIT0604_00738,EW14_0738
MIT0604_00739,EW14_0739
MIT0604_00740,EW14_0740
MIT0604_00741,EW14_0741
MIT0604_00742,EW14_0742
MIT0604_00743,EW14_0743
MIT0604_00744,EW14_0744
MIT0604_00745,EW14_0745
MIT0604_00746,EW14_0746
MIT0604_00747,EW14_0747
MIT0604_00748,EW14_0748
MIT0604_00749,EW14_0749
MIT0604_00750,EW14_0750
MIT0604_00751,EW14_0751
MIT0604_00752,EW14_0752
MIT0604_00753,EW14_0753
MIT0604_00754,EW14_0754
MIT0604_00755,EW14_0755
MIT0604_00756,EW14_0756
MIT0604_00757,EW14_0757
MIT0604_00758,EW14_0758
MIT0604_00759,EW14_0759
MIT0604_00760,EW14_RS03685
MIT0604_00762,EW14_0762
MIT0604_00763,EW14_0763
MIT0604_00764,EW14_0764
MIT0604_00765,EW14_0765
MIT0604_00767,EW14_0767
MIT0604_00768,EW14_0768
MIT0604_00769,EW14_0769
MIT0604_00770,EW14_0770
MIT0604_00771,EW14_0771
MIT0604_00772,EW14_0772
MIT0604_00773,EW14_0773
MIT0604_00774,EW14_0774
MIT0604_00775,EW14_0775
MIT0604_00776,EW14_0776
MIT0604_00777,EW14_0777
MIT0604_00778,EW14_0778
MIT0604_00779,EW14_0779
MIT0604_00780,EW14_0780
MIT0604_00781,EW14_0781
MIT0604_00782,EW14_0782
MIT0604_00783,EW14_0783
MIT0604_00784,EW14_0784
MIT0604_00785,EW14_0785
MIT0604_00786,EW14_0786
MIT0604_00787,EW14_0787
MIT0604_00788,EW14_0788
MIT0604_00789,EW14_0789
MIT0604_00790,EW14_0790
MIT0604_00791,EW14_0791
MIT0604_00792,EW14_0792
MIT0604_00793,EW14_0793
MIT0604_00794,EW14_0794
MIT0604_00795,EW14_0795
MIT0604_00796,EW14_0796
MIT0604_00797,EW14_0797
MIT0604_00798,EW14_0798
MIT0604_00799,EW14_0799
MIT0604_00800,EW14_0800
MIT0604_00801,EW14_0801
MIT0604_00802,EW14_0802
MIT0604_00803,EW14_0803
MIT0604_00804,EW14_0804
MIT0604_00805,EW14_0805
MIT0604_00806,EW14_0806
MIT0604_00807,EW14_0807
MIT0604_00808,EW14_0808
MIT0604_00809,EW14_0809
MIT0604_00810,EW14_0810
MIT0604_00811,EW14_0811
MIT0604_00812,EW14_0812
MIT0604_00813,EW14_0813
MIT0604_00814,EW14_0814
MIT0604_00815,EW14_0815
MIT0604_00816,EW14_0816
MIT0604_00817,EW14_0817
MIT0604_00818,EW14_0818
MIT0604_00819,EW14_RS03905
MIT0604_00820,EW14_0820
MIT0604_00821,EW14_0821
MIT0604_00822,EW14_0822
MIT0604_00823,EW14_0823
MIT0604_00824,EW14_0824
MIT0604_00825,EW14_0825
MIT0604_00826,EW14_0826
MIT0604_00827,EW14_0827
MIT0604_00828,EW14_0828
MIT0604_00829,EW14_0829
MIT0604_00830,EW14_0830
MIT0604_00831,EW14_0831
MIT0604_00832,EW14_0832
MIT0604_00833,EW14_0833
MIT0604_00834,EW14_0834
MIT0604_00835,EW14_0835
MIT0604_00836,EW14_0836
MIT0604_00837,EW14_0837
MIT0604_00838,EW14_0838
MIT0604_00839,EW14_0839
MIT0604_00840,EW14_0840
MIT0604_00841,EW14_0841
MIT0604_00842,EW14_0842
MIT0604_00843,EW14_0843
MIT0604_00844,EW14_0844
MIT0604_00845,EW14_0845
MIT0604_00846,EW14_0846
MIT0604_00847,EW14_0847
MIT0604_00848,EW14_0848
MIT0604_00849,EW14_0849
MIT0604_00850,EW14_0850
MIT0604_00851,EW14_0851
MIT0604_00852,EW14_0852
MIT0604_00853,EW14_0853
MIT0604_00854,EW14_0854
MIT0604_00855,EW14_0855
MIT0604_00856,EW14_0856
MIT0604_00857,EW14_0857
MIT0604_00858,EW14_0858
MIT0604_00859,EW14_0859
MIT0604_00860,EW14_0860
MIT0604_00861,EW14_0861
MIT0604_00862,EW14_0862
MIT0604_00863,EW14_0863
MIT0604_00864,EW14_0864
MIT0604_00865,EW14_0865
MIT0604_00866,EW14_0866
MIT0604_00867,EW14_0867
MIT0604_00868,EW14_0868
MIT0604_00869,EW14_0869
MIT0604_00870,EW14_0870
MIT0604_00871,EW14_0871
MIT0604_00872,EW14_0872
MIT0604_00873,EW14_0873
MIT0604_00874,EW14_0874
MIT0604_00875,EW14_0875
MIT0604_00876,EW14_0876
MIT0604_00877,EW14_0877
MIT0604_00878,EW14_0878
MIT0604_00879,EW14_0879
MIT0604_00880,EW14_0880
MIT0604_00881,EW14_0881
