locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM1257,2,-1.08,0.79,0.56,0.15,"Surface polysaccharides, lipopolysaccharides and antigens possible dTDP-glucose 4,6-dehydratase",,24h,PMM1257,locus_tag:locus_tag
PMM1258,2,0.9,0.02,0.02,0.69,Pyridoxine,pyridoxal-phosphate-dependent aminotransferase,24h,PMM1258,locus_tag:locus_tag
PMM1259,2,3.51,0.69,0.49,0.0,Pyridoxine,pyridoxal-phosphate-dependent aminotransferase,24h,PMM1259,locus_tag:locus_tag
PMM1260,2,-0.41,0.9,0.64,0.48,Transport and binding proteins,Nucleoside-diphosphate-sugar epimerase,24h,PMM1260,locus_tag:locus_tag
PMM1261,2,-0.22,0.72,0.51,0.53,Sugars,UDP-glucose 6-dehydrogenase,24h,PMM1261,locus_tag:locus_tag
PMM1262,2,2.02,0.23,0.16,0.02,Regulatory functions,"SOS function regulatory protein, LexA repressor",24h,PMM1262,locus_tag:locus_tag
PMM1264,2,-0.56,0.99,0.7,0.22,Cell division,cell division protein FtsH3,24h,PMM1264,locus_tag:locus_tag
PMM1267,2,-0.84,1.51,1.07,0.12,Conserved hypothetical protein,conserved hypothetical,24h,PMM1267,locus_tag:locus_tag
PMM1269,2,-0.37,0.09,0.07,1.0,Transport and binding proteins,predicted sugar kinase,24h,PMM1269,locus_tag:locus_tag
PMM1270,2,-0.52,0.33,0.24,0.46,Aminoacyl tRNA synthetases and tRNA modification,Phenylalanyl-tRNA synthetase alpha chain,24h,PMM1270,locus_tag:locus_tag
PMM1272,2,1.96,1.72,1.22,0.14,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1272,locus_tag:locus_tag
PMM1273,2,-0.05,0.41,0.29,0.6,Riboflavin,putative riboflavin kinase/FAD synthase,24h,PMM1273,locus_tag:locus_tag
PMM1275,2,-1.23,1.18,0.84,0.43,Conserved hypothetical protein,DUF170,24h,PMM1275,locus_tag:locus_tag
PMM1276,2,-2.96,0.47,0.33,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1276,locus_tag:locus_tag
PMM1277,2,-0.03,0.49,0.35,0.61,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1277,locus_tag:locus_tag
PMM1283,2,0.84,0.03,0.02,0.94,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1283,locus_tag:locus_tag
PMM1284,2,0.21,0.54,0.38,1.0,Adaptations and atypical conditions,PhoH-like phosphate starvation-inducible protein,24h,PMM1284,locus_tag:locus_tag
PMM1285,2,-3.29,1.21,0.85,0.0,Ribosomal proteins,30S Ribosomal protein S16,24h,PMM1285,locus_tag:locus_tag
PMM1286,2,-0.26,0.66,0.46,0.55,Protein and peptide secretion,signal recognition particle protein (SRP54),24h,PMM1286,locus_tag:locus_tag
PMM1287,2,0.02,0.26,0.18,0.63,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1287,locus_tag:locus_tag
PMM1288,2,-0.68,0.19,0.14,0.97,Other,Pyruvate dehydrogenase E1 alpha subunit,24h,PMM1288,locus_tag:locus_tag
PMM1289,2,0.47,0.7,0.49,0.91,Transport and binding proteins,"Type II alternative RNA polymerase sigma factor, sigma-70 family",24h,PMM1289,locus_tag:locus_tag
PMM1293,2,0.15,0.58,0.41,0.61,Other,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),24h,PMM1293,locus_tag:locus_tag
PMM1294,2,0.6,0.33,0.23,1.0,Hydrogenase,putative nickel-containing superoxide dismutase precursor (NISOD),24h,PMM1294,locus_tag:locus_tag
PMM1296,2,0.9,0.5,0.35,1.0,Other,marine cyanobacterial conserved hypothetical,24h,PMM1296,locus_tag:locus_tag
PMM1298,2,-2.51,0.37,0.26,0.0,Regulatory functions,putative dihydrolipoamide dehydrogenase,24h,PMM1298,locus_tag:locus_tag
PMM1299,2,-0.68,0.71,0.51,0.3,"RNA synthesis, modification, and DNA transcription",tRNA/rRNA methyltransferase (SpoU),24h,PMM1299,locus_tag:locus_tag
PMM1300,2,0.83,0.16,0.11,0.82,Degradation of RNA,UDP-N-glucosamine 1-carboxyvinyltransferase,24h,PMM1300,locus_tag:locus_tag
PMM1301,2,0.94,0.43,0.3,0.94,Glutamate family / Nitrogen assimilation,Aminotransferase class-III pyridoxal-phosphate:Acetylornithin...,24h,PMM1301,locus_tag:locus_tag
PMM1304,2,0.86,0.69,0.49,0.54,Other,possible cytosine deaminase,24h,PMM1304,locus_tag:locus_tag
PMM1305,2,0.55,0.81,0.57,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1305,locus_tag:locus_tag
PMM1307,2,1.07,0.15,0.1,0.35,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1307,locus_tag:locus_tag
PMM1309,2,0.73,0.39,0.28,1.0,Cell division,Cell division protein FtsZ:Tubulin/FtsZ family,24h,PMM1309,locus_tag:locus_tag
PMM1310,2,1.42,0.02,0.01,0.18,Regulatory functions,putative Ketopantoate hydroxymethyltransferase,24h,PMM1310,locus_tag:locus_tag
PMM1312,2,2.02,0.73,0.52,0.04,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1312,locus_tag:locus_tag
PMM1313,2,1.71,0.18,0.13,0.07,"Degradation of proteins, peptides, and glycopeptides",Clp protease proteolytic subunit,24h,PMM1313,locus_tag:locus_tag
PMM1314,2,3.0,0.79,0.56,0.0,"Degradation of proteins, peptides, and glycopeptides",Clp protease proteolytic subunit,24h,PMM1314,locus_tag:locus_tag
PMM1315,2,-0.69,0.06,0.04,0.41,Branched chain family,Ketol-acid reductoisomerase,24h,PMM1315,locus_tag:locus_tag
PMM1317,2,-1.63,0.36,0.25,0.03,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1317,locus_tag:locus_tag
PMM1318,2,-1.94,0.36,0.25,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM1318,locus_tag:locus_tag
PMM1319,2,0.58,1.28,0.9,0.81,Drug and analog sensitivity,possible Beta-lactamase,24h,PMM1319,locus_tag:locus_tag
PMM1321,2,1.98,0.29,0.21,0.28,Nucleoproteins,Bacterial histone-like DNA-binding protein,24h,PMM1321,locus_tag:locus_tag
PMM1322,2,1.09,0.29,0.2,0.55,Other,Putative isoamylase,24h,PMM1322,locus_tag:locus_tag
PMM1323,2,-0.31,0.29,0.21,0.55,Regulatory functions,putative GPH family sugar transporter,24h,PMM1323,locus_tag:locus_tag
PMM1324,2,0.72,0.22,0.16,0.51,Transport and binding proteins,"possible transporter, membrane component",24h,PMM1324,locus_tag:locus_tag
PMM1325,2,0.38,0.43,0.3,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1325,locus_tag:locus_tag
PMM1327,2,2.39,1.03,0.73,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1327,locus_tag:locus_tag
PMM1330,2,0.11,1.7,1.2,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1330,locus_tag:locus_tag
PMM1331,2,-0.46,0.56,0.4,0.48,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1331,locus_tag:locus_tag
PMM1333,2,0.99,0.35,0.25,0.56,Protein modification and translation factors,Peptide methionine sulfoxide reductase,24h,PMM1333,locus_tag:locus_tag
PMM1336,2,-1.34,0.26,0.18,0.09,"Fatty acid, phospholipid and sterol metabolism",Putative (3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,24h,PMM1336,locus_tag:locus_tag
PMM1339,2,-0.7,0.34,0.24,0.33,Purine ribonucleotide biosynthesis,SAICAR synthetase,24h,PMM1339,locus_tag:locus_tag
PMM1340,2,0.52,0.02,0.01,0.86,Purine ribonucleotide biosynthesis,phosphoribosylglycinamide synthetase,24h,PMM1340,locus_tag:locus_tag
PMM1342,2,0.24,0.34,0.24,1.0,Other,possible circadian clock protein KaiC,24h,PMM1342,locus_tag:locus_tag
PMM1343,2,-1.03,1.02,0.72,0.19,Other,possible circadian oscillation regulator KaiB,24h,PMM1343,locus_tag:locus_tag
PMM1344,2,-2.59,0.5,0.36,0.0,Ribosomal proteins,50S ribosomal protein L21,24h,PMM1344,locus_tag:locus_tag
PMM1345,2,-2.84,0.51,0.36,0.0,Ribosomal proteins,50S ribosomal protein L27,24h,PMM1345,locus_tag:locus_tag
PMM1346,2,-2.29,1.06,0.75,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1346,locus_tag:locus_tag
PMM1349,2,0.86,0.56,0.39,0.88,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1349,locus_tag:locus_tag
PMM1350,2,-3.97,1.45,1.02,0.0,Other,Pentapeptide repeats,24h,PMM1350,locus_tag:locus_tag
PMM1351,2,2.52,0.15,0.11,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1351,locus_tag:locus_tag
PMM1352,2,1.08,0.68,0.48,0.96,Soluble electron carriers,ferredoxin,24h,PMM1352,locus_tag:locus_tag
PMM1354,2,0.26,0.18,0.13,0.82,Regulatory functions,putative D-3-phosphoglycerate dehydrogenase (PGDH),24h,PMM1354,locus_tag:locus_tag
PMM1355,2,1.03,0.74,0.52,0.17,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1355,locus_tag:locus_tag
PMM1363,2,0.03,2.11,1.49,1.0,Conserved hypothetical protein,hypothetical,24h,PMM1363,locus_tag:locus_tag
PMM1365,2,-0.28,2.5,1.77,0.23,Regulatory functions,possible MATH domain,24h,PMM1365,locus_tag:locus_tag
PMM1368,2,0.26,0.13,0.09,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1368,locus_tag:locus_tag
PMM1369,2,-2.66,0.08,0.06,0.0,Regulatory functions,GAF domain,24h,PMM1369,locus_tag:locus_tag
PMM1372,2,-0.35,0.85,0.6,0.4,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1372,locus_tag:locus_tag
PMM1375,2,-2.86,0.97,0.68,0.0,Conserved hypothetical protein,possible M protein repeat,24h,PMM1375,locus_tag:locus_tag
PMM1376,2,-0.31,0.96,0.68,0.64,Nucleoproteins,RNA-binding protein RbpD,24h,PMM1376,locus_tag:locus_tag
PMM1377,2,1.21,0.16,0.11,0.2,Other,"possible dihydroflavonol-4-reductase (maize, petunia, tomato)...",24h,PMM1377,locus_tag:locus_tag
PMM1382,2,1.11,0.56,0.4,0.27,"Fatty acid, phospholipid and sterol metabolism","fatty acid desaturase, type 2",24h,PMM1382,locus_tag:locus_tag
PMM1383,2,1.6,0.78,0.55,0.08,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1383,locus_tag:locus_tag
PMM1384,2,3.0,0.06,0.04,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1384,locus_tag:locus_tag
PMM1385,2,2.89,0.09,0.06,0.01,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1385,locus_tag:locus_tag
PMM1387,2,1.02,1.86,1.32,0.43,Conserved hypothetical protein,hypothetical,24h,PMM1387,locus_tag:locus_tag
PMM1388,2,1.93,1.72,1.21,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1388,locus_tag:locus_tag
PMM1390,2,4.01,0.83,0.59,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1390,locus_tag:locus_tag
PMM1391,2,0.04,0.25,0.18,1.0,Regulatory functions,"possible Helix-turn-helix protein, copG family",24h,PMM1391,locus_tag:locus_tag
PMM1392,2,1.4,1.7,1.21,0.33,Branched chain family,possible Heat-labile enterotoxin alpha chain,24h,PMM1392,locus_tag:locus_tag
PMM1394,2,-0.25,1.0,0.71,0.61,Conserved hypothetical protein,hypothetical,24h,PMM1394,locus_tag:locus_tag
PMM1395,2,2.15,0.77,0.55,0.0,Conserved hypothetical protein,hypothetical,24h,PMM1395,locus_tag:locus_tag
PMM1396,2,3.09,0.41,0.29,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1396,locus_tag:locus_tag
PMM1397,2,3.91,0.14,0.1,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1397,locus_tag:locus_tag
PMM1398,2,3.56,0.15,0.11,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1398,locus_tag:locus_tag
PMM1399,2,3.99,0.63,0.44,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1399,locus_tag:locus_tag
PMM1400,2,-1.52,0.62,0.44,0.6,Other,possible Hemagglutinin-neuraminidase,24h,PMM1400,locus_tag:locus_tag
PMM1401,2,-2.27,0.04,0.03,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM1401,locus_tag:locus_tag
PMM1402,2,-1.52,0.57,0.4,0.17,Conserved hypothetical protein,unnamed protein product,24h,PMM1402,locus_tag:locus_tag
PMM1404,2,5.09,0.38,0.27,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1404,locus_tag:locus_tag
PMM1405,2,0.65,0.69,0.48,0.66,Conserved hypothetical protein,hypothetical,24h,PMM1405,locus_tag:locus_tag
PMM1407,2,0.9,0.26,0.18,0.31,Other,possible SRP19 protein,24h,PMM1407,locus_tag:locus_tag
PMM1408,2,0.06,0.15,0.1,0.65,Conserved hypothetical protein,hypothetical,24h,PMM1408,locus_tag:locus_tag
PMM1409,2,3.07,0.3,0.21,0.0,Other,possible Rubredoxin,24h,PMM1409,locus_tag:locus_tag
PMM1412,2,2.86,1.28,0.91,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1412,locus_tag:locus_tag
PMM1413,2,1.24,1.32,0.93,0.32,Conserved hypothetical protein,conserved hypothetical,24h,PMM1413,locus_tag:locus_tag
PMM1416,2,0.43,0.1,0.07,0.88,Conserved hypothetical protein,conserved hypothetical,24h,PMM1416,locus_tag:locus_tag
PMM1419,2,-0.79,0.83,0.58,0.31,Transport and binding proteins,possible ATP synthase B/B' CF(0),24h,PMM1419,locus_tag:locus_tag
PMM1422,2,1.16,0.22,0.15,0.22,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1422,locus_tag:locus_tag
PMM1423,2,0.79,0.76,0.54,0.56,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1423,locus_tag:locus_tag
PMM1424,2,0.43,0.28,0.2,1.0,Other,possible Uncharacterized protein family UPF003,24h,PMM1424,locus_tag:locus_tag
PMM1427,2,3.23,0.33,0.23,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM1427,locus_tag:locus_tag
PMM1428,2,1.17,2.48,1.75,0.84,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1428,locus_tag:locus_tag
PMM1429,2,1.5,0.59,0.42,0.1,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1429,locus_tag:locus_tag
PMM1430,2,0.33,0.97,0.68,0.66,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1430,locus_tag:locus_tag
PMM1431,2,-0.02,0.23,0.16,0.67,"RNA synthesis, modification, and DNA transcription",putative DNA-directed RNA polymerase (omega chain),24h,PMM1431,locus_tag:locus_tag
PMM1434,2,0.78,0.3,0.21,1.0,Glycolysis,"Phosphoglycerate mutase, co-factor-independent (iPGM)",24h,PMM1434,locus_tag:locus_tag
PMM1435,2,1.03,0.08,0.06,0.33,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1435,locus_tag:locus_tag
PMM1436,2,-1.86,0.3,0.21,0.07,Chaperones,GroEL protein (Chaperonin cpn60),24h,PMM1436,locus_tag:locus_tag
PMM1437,2,-2.01,0.22,0.15,0.03,Chaperones,GroES protein (Chaperonin cpn10),24h,PMM1437,locus_tag:locus_tag
PMM1438,2,-3.18,0.88,0.62,0.0,ATP synthase,"ATP synthase beta subunit, central region:ATP synth...",24h,PMM1438,locus_tag:locus_tag
PMM1440,2,-1.68,0.34,0.24,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1440,locus_tag:locus_tag
PMM1441,2,-1.9,1.62,1.15,0.0,Conserved hypothetical protein,hypothetical,24h,PMM1441,locus_tag:locus_tag
PMM1442,2,1.73,0.59,0.42,0.04,Regulatory functions,putative aminopeptidase P,24h,PMM1442,locus_tag:locus_tag
PMM1443,2,0.46,0.56,0.39,0.93,Conserved hypothetical protein,Domain of unknown function DUF21,24h,PMM1443,locus_tag:locus_tag
PMM1449,2,1.41,0.96,0.68,0.09,Soluble electron carriers,ferredoxin,24h,PMM1449,locus_tag:locus_tag
PMM1451,2,-3.17,0.32,0.23,0.0,ATP synthase,"ATP synthase alpha subunit, central region:ATP synth...",24h,PMM1451,locus_tag:locus_tag
PMM1452,2,-4.69,0.6,0.43,0.0,ATP synthase,"ATP synthase, delta (OSCP) subunit",24h,PMM1452,locus_tag:locus_tag
PMM1453,2,-5.56,0.25,0.17,0.0,ATP synthase,ATP synthase B/B' CF(0),24h,PMM1453,locus_tag:locus_tag
PMM1454,2,-4.92,0.56,0.4,0.0,ATP synthase,ATP synthase B/B' CF(0),24h,PMM1454,locus_tag:locus_tag
PMM1455,2,-4.35,0.18,0.13,0.0,"Membranes, lipoproteins and porins",Eubacterial and plasma membrane ATP synthase subunit C:ATP sy...,24h,PMM1455,locus_tag:locus_tag
PMM1456,2,-2.29,0.44,0.31,0.0,ATP synthase,ATP synthase A subunit,24h,PMM1456,locus_tag:locus_tag
PMM1457,2,-3.62,0.24,0.17,0.0,Conserved hypothetical protein,possible ATP synthase subunit 1,24h,PMM1457,locus_tag:locus_tag
PMM1459,2,0.36,0.55,0.39,1.0,Regulatory functions,putative c-type cytochrome biogenesis protein CcdA,24h,PMM1459,locus_tag:locus_tag
PMM1462,2,-0.1,0.44,0.31,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1462,locus_tag:locus_tag
PMM1463,2,0.69,0.67,0.47,0.56,Other,Nitrogen regulatory protein P-II,24h,PMM1463,locus_tag:locus_tag
PMM1477,2,2.42,0.98,0.7,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM1477,locus_tag:locus_tag
PMM1478,2,1.15,0.48,0.34,0.39,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1478,locus_tag:locus_tag
PMM1479,2,0.98,0.45,0.32,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1479,locus_tag:locus_tag
PMM1480,2,1.0,0.26,0.19,0.24,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1480,locus_tag:locus_tag
PMM1482,2,-1.82,0.8,0.57,0.23,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1482,locus_tag:locus_tag
PMM1483,2,-0.46,0.42,0.3,0.33,"RNA synthesis, modification, and DNA transcription",RNA polymerase beta prime subunit,24h,PMM1483,locus_tag:locus_tag
PMM1484,2,0.15,0.03,0.02,0.66,"RNA synthesis, modification, and DNA transcription",RNA polymerase gamma subunit,24h,PMM1484,locus_tag:locus_tag
PMM1485,2,0.21,0.49,0.35,0.88,"RNA synthesis, modification, and DNA transcription",RNA polymerase beta subunit,24h,PMM1485,locus_tag:locus_tag
PMM1487,2,-0.97,1.52,1.07,0.17,Ribosomal proteins,30s Ribosomal protein S20,24h,PMM1487,locus_tag:locus_tag
PMM1489,2,0.42,0.56,0.4,1.0,Other,Ribose 5-phosphate isomerase,24h,PMM1489,locus_tag:locus_tag
PMM1490,2,2.79,0.39,0.28,0.0,"Degradation of proteins, peptides, and glycopeptides Serine proteases, trypsin family:Chymotrypsin serine protease...",,24h,PMM1490,locus_tag:locus_tag
PMM1492,2,-0.07,0.21,0.15,0.51,"RNA synthesis, modification, and DNA transcription",N utilization substance protein A,24h,PMM1492,locus_tag:locus_tag
PMM1494,2,-0.02,0.89,0.63,0.72,Protein modification and translation factors,Translation initiation factor IF-2,24h,PMM1494,locus_tag:locus_tag
PMM1495,2,-0.69,1.26,0.89,0.55,Conserved hypothetical protein,hypothetical,24h,PMM1495,locus_tag:locus_tag
PMM1498,2,1.35,0.42,0.29,0.33,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1498,locus_tag:locus_tag
PMM1499,2,0.96,0.07,0.05,0.29,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1499,locus_tag:locus_tag
PMM1500,2,1.03,0.14,0.1,0.36,Regulatory functions,putative aminotransferase,24h,PMM1500,locus_tag:locus_tag
PMM1501,2,-0.37,0.39,0.27,0.39,Other,S1 RNA binding domain:Ribonuclease E and G,24h,PMM1501,locus_tag:locus_tag
PMM1504,2,-0.84,0.77,0.54,0.21,Aromatic amino acid family,Chorismate mutase-Prephenate dehydratase,24h,PMM1504,locus_tag:locus_tag
PMM1506,2,-0.89,0.18,0.13,0.25,Regulatory functions,ATP-dependent protease La (LON) domain,24h,PMM1506,locus_tag:locus_tag
PMM1507,2,-2.01,0.43,0.3,0.0,Ribosomal proteins,30S ribosomal protein S10,24h,PMM1507,locus_tag:locus_tag
PMM1508,2,-0.17,0.39,0.28,0.78,Protein modification and translation factors,Elongation factor Tu,24h,PMM1508,locus_tag:locus_tag
PMM1509,2,0.03,0.08,0.06,0.84,Protein modification and translation factors,Elongation factor G,24h,PMM1509,locus_tag:locus_tag
PMM1510,2,-0.19,0.55,0.39,0.58,Ribosomal proteins,30S ribosomal protein S7,24h,PMM1510,locus_tag:locus_tag
PMM1511,2,-3.29,0.1,0.07,0.0,Ribosomal proteins,30S ribosomal protein S12,24h,PMM1511,locus_tag:locus_tag
PMM1512,2,0.94,0.35,0.25,0.4,Glutamate family / Nitrogen assimilation,"Ferredoxin-dependent glutamate synthase, Fd-GOGAT",24h,PMM1512,locus_tag:locus_tag
PMM1514,2,0.74,1.74,1.23,0.87,Other,lipoic acid synthetase,24h,PMM1514,locus_tag:locus_tag
PMM1515,2,0.05,0.88,0.62,1.0,Other,Site-specific recombinase,24h,PMM1515,locus_tag:locus_tag
PMM1519,2,-2.0,0.02,0.01,0.0,Photosystem I,Photosystem I PsaL protein (subunit XI),24h,PMM1519,locus_tag:locus_tag
PMM1520,2,-2.68,0.84,0.59,0.0,Photosystem I,photosystem I subunit VIII (PsaI),24h,PMM1520,locus_tag:locus_tag
PMM1523,2,-1.56,0.56,0.4,0.02,Photosystem I,Photosystem I PsaB protein,24h,PMM1523,locus_tag:locus_tag
PMM1524,2,-0.59,0.2,0.14,0.94,Photosystem I,Photosystem I PsaA protein,24h,PMM1524,locus_tag:locus_tag
PMM1528,2,0.17,0.46,0.33,1.0,"DNA replication, recombination, and repair",HNH endonuclease family protein,24h,PMM1528,locus_tag:locus_tag
PMM1530,2,-1.07,0.14,0.1,0.15,Ribosomal proteins,50S ribosomal protein L31,24h,PMM1530,locus_tag:locus_tag
PMM1531,2,-0.87,0.4,0.28,1.0,Ribosomal proteins,30S ribosomal protein S9,24h,PMM1531,locus_tag:locus_tag
PMM1532,2,-2.98,0.01,0.0,0.0,Ribosomal proteins,50S ribosomal protein L13,24h,PMM1532,locus_tag:locus_tag
PMM1534,2,-1.33,0.27,0.19,0.02,Ribosomal proteins,50S ribosomal protein L17,24h,PMM1534,locus_tag:locus_tag
PMM1535,2,-0.84,0.5,0.35,0.21,"RNA synthesis, modification, and DNA transcription","Bacterial RNA polymerase, alpha chain",24h,PMM1535,locus_tag:locus_tag
PMM1536,2,-3.01,0.15,0.11,0.0,Ribosomal proteins,30S ribosomal protein S11,24h,PMM1536,locus_tag:locus_tag
PMM1537,2,-4.16,0.29,0.2,0.0,Ribosomal proteins,30S ribosomal protein S13,24h,PMM1537,locus_tag:locus_tag
PMM1538,2,-4.17,0.82,0.58,0.0,Ribosomal proteins,50S Ribosomal protein L36,24h,PMM1538,locus_tag:locus_tag
PMM1540,2,-0.7,0.18,0.13,0.36,Protein and peptide secretion,preprotein translocase SecY subunit,24h,PMM1540,locus_tag:locus_tag
PMM1541,2,-3.24,0.81,0.57,0.0,Ribosomal proteins,50S ribosomal protein L15,24h,PMM1541,locus_tag:locus_tag
PMM1542,2,-2.83,0.02,0.02,0.0,Ribosomal proteins,30S ribosomal protein S5,24h,PMM1542,locus_tag:locus_tag
PMM1543,2,-0.99,0.77,0.55,0.27,Ribosomal proteins,50S ribosomal protein L18,24h,PMM1543,locus_tag:locus_tag
PMM1544,2,-1.87,0.36,0.25,0.0,Ribosomal proteins,50S ribosomal protein L6,24h,PMM1544,locus_tag:locus_tag
PMM1545,2,-1.0,0.42,0.3,0.21,Ribosomal proteins,30S ribosomal protein S8,24h,PMM1545,locus_tag:locus_tag
PMM1546,2,-0.19,0.9,0.63,0.51,Ribosomal proteins,50S ribosomal protein L5,24h,PMM1546,locus_tag:locus_tag
PMM1548,2,-0.36,0.43,0.3,0.69,Ribosomal proteins,50S Ribosomal protein L14,24h,PMM1548,locus_tag:locus_tag
PMM1550,2,-1.93,0.75,0.53,0.13,Ribosomal proteins,50S ribosomal protein L29,24h,PMM1550,locus_tag:locus_tag
PMM1551,2,-1.02,0.04,0.03,0.19,Ribosomal proteins,50S ribosomal protein L16,24h,PMM1551,locus_tag:locus_tag
PMM1552,2,-2.56,0.06,0.04,0.0,Ribosomal proteins,30S ribosomal protein S3,24h,PMM1552,locus_tag:locus_tag
PMM1553,2,-2.42,0.76,0.54,0.0,Ribosomal proteins,50S ribosomal protein L22,24h,PMM1553,locus_tag:locus_tag
PMM1554,2,-2.15,0.69,0.49,0.0,Ribosomal proteins,30S Ribosomal protein S19,24h,PMM1554,locus_tag:locus_tag
PMM1555,2,-2.54,0.59,0.42,0.0,Ribosomal proteins,50S ribosomal protein L2,24h,PMM1555,locus_tag:locus_tag
PMM1556,2,-2.11,0.03,0.02,0.0,Ribosomal proteins,50S ribosomal protein L23,24h,PMM1556,locus_tag:locus_tag
PMM1557,2,-1.14,0.29,0.21,0.13,Ribosomal proteins,50S ribosomal protein L4,24h,PMM1557,locus_tag:locus_tag
PMM1558,2,-4.05,1.61,1.14,0.0,Ribosomal proteins,50S ribosomal protein L3,24h,PMM1558,locus_tag:locus_tag
PMM1559,2,0.68,0.44,0.31,0.65,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1559,locus_tag:locus_tag
PMM1562,2,3.38,0.66,0.47,0.0,"DNA replication, recombination, and repair",RecA bacterial DNA recombination protein,24h,PMM1562,locus_tag:locus_tag
PMM1563,2,-1.2,0.71,0.5,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1563,locus_tag:locus_tag
PMM1566,2,0.33,0.33,0.23,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1566,locus_tag:locus_tag
PMM1568,2,0.07,0.1,0.07,0.56,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1568,locus_tag:locus_tag
PMM1570,2,-1.16,0.23,0.16,0.16,"Cobalamin, heme, phycobilin and porphyrin",ATP:corrinoid adenosyltransferase BtuR/CobO/CobP,24h,PMM1570,locus_tag:locus_tag
PMM1571,2,1.08,0.95,0.67,0.51,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1571,locus_tag:locus_tag
PMM1575,2,0.51,0.06,0.04,1.0,Pyruvate and acetyl-CoA metabolism,Phosphoenolpyruvate carboxylase,24h,PMM1575,locus_tag:locus_tag
PMM1578,2,-1.59,0.46,0.32,0.03,Photosystem I,Photosystem I protein PsaD,24h,PMM1578,locus_tag:locus_tag
PMM1581,2,0.63,0.05,0.04,0.77,Regulatory functions,MRP protein homolog,24h,PMM1581,locus_tag:locus_tag
PMM1583,2,0.53,0.07,0.05,0.94,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1583,locus_tag:locus_tag
PMM1585,2,-1.67,0.21,0.15,0.08,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1585,locus_tag:locus_tag
PMM1588,2,1.7,0.27,0.19,0.08,Regulatory functions,possible Conserved carboxylase domain,24h,PMM1588,locus_tag:locus_tag
