Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_01717,maf protein,490,378,490.01,378.01,0.584666063,1.296288458
AMHOT1A3_single_03037,Polyketide cyclase / dehydrase and lipid transport,489,490,489.01,490.01,0.52087454,0.997959225
AMHOT1A3_single_01215,MATE efflux family protein,488,643,488.01,643.01,0.375600739,0.758946206
AMHOT1A3_single_01418,Na+/proline symporter PutP-like domain/sensory histidine kinase and receiver domain-containing protein,487,275,487.01,275.01,1,1.770881059
AMHOT1A3_single_01397,chromosome segregation and condensation protein ScpA,478,333,478.01,333.01,0.575676337,1.43542236
AMHOT1A3_single_00046,hypothetical protein,478,410,478.01,410.01,0.585062498,1.165849613
AMHOT1A3_single_00670,transcriptional regulator,465,250,465.01,250.01,0.8911436,1.859965601
AMHOT1A3_single_00331,hypothetical protein,464,616,464.01,616.01,0.331045072,0.753250759
AMHOT1A3_single_00854,hypothetical protein,457,196,457.01,196.01,0.450243187,2.331564716
AMHOT1A3_single_01770,diguanylate cyclase,454,379,454.01,379.01,0.641789105,1.197883961
AMHOT1A3_single_01352,osmosensitive K+ channel histidine kinase KdpD,447,181,447.01,181.01,0.243836719,2.46953207
AMHOT1A3_single_03272,mechanosensitive ion channel protein,445,565,445.01,565.01,0.357895846,0.787614379
AMHOT1A3_single_00267,hypothetical protein,440,618,440.01,618.01,0.328095768,0.711978771
AMHOT1A3_single_00263,hypothetical protein,436,415,436.01,415.01,0.515754679,1.05060119
AMHOT1A3_single_02557,esterase,429,365,429.01,365.01,0.571882946,1.175337662
AMHOT1A3_single_00437,glycerophosphoryl diester phosphodiesterase family protein,429,471,429.01,471.01,0.754788739,0.910829919
AMHOT1A3_single_01551,hypothetical protein,428,208,428.01,208.01,0.686642676,2.05764146
AMHOT1A3_single_01897,Diacylglycerol kinase,424,399,424.01,399.01,0.525237156,1.062655071
AMHOT1A3_single_00553,septum formation initiator family protein,423,367,423.01,367.01,0.573476313,1.152584398
AMHOT1A3_single_01694,ABC transporter permease,422,165,422.01,165.01,0.229800999,2.557481365
AMHOT1A3_single_01781,alkyl hydroperoxide reductase subunit F,420,258,420.01,258.01,1,1.62788264
AMHOT1A3_single_03961,hypothetical protein,417,262,417.01,262.01,1,1.591580474
AMHOT1A3_single_00218,hypothetical protein,415,390,415.01,390.01,0.635217323,1.06410092
AMHOT1A3_single_03033,D-cysteine desulfhydrase,412,416,412.01,416.01,0.517933747,0.990384847
AMHOT1A3_single_01888,dihydropteroate synthase,410,258,410.01,258.01,0.75370499,1.589124453
AMHOT1A3_single_00826,hypothetical protein,408,377,408.01,377.01,0.554255281,1.082225936
AMHOT1A3_single_01548,hypothetical protein,404,686,404.01,686.01,0.199717301,0.588927275
AMHOT1A3_single_00064,hypothetical protein,404,314,404.01,314.01,0.60150076,1.286615076
AMHOT1A3_single_01571,OHCU decarboxylase,400,506,400.01,506.01,0.396007762,0.790517974
AMHOT1A3_single_00494,ABC transporter substrate-binding protein,398,266,398.01,266.01,1,1.496221947
AMHOT1A3_single_01588,hypothetical protein,395,345,395.01,345.01,0.584666063,1.144923336
AMHOT1A3_single_00567,thymidylate synthase,393,521,393.01,521.01,0.357675712,0.754323334
AMHOT1A3_single_00646,amidohydrolase 2,392,396,392.01,396.01,0.489892161,0.989899245
AMHOT1A3_single_00101,hypothetical protein,389,276,389.01,276.01,0.731256096,1.409405456
AMHOT1A3_single_02843,membrane protein,380,329,380.01,329.01,0.58157528,1.155010486
AMHOT1A3_single_03866,glycosyl hydrolase family protein,380,239,380.01,239.01,1,1.589933476
AMHOT1A3_single_00238,rod shape-determining protein MreD,378,563,378.01,563.01,0.148175827,0.671409034
AMHOT1A3_single_01182,DNA mismatch repair protein MutS,375,174,375.01,174.01,0.569352073,2.155106028
AMHOT1A3_single_02294,histidinol-phosphate aminotransferase,375,559,375.01,559.01,0.724284244,0.670846675
AMHOT1A3_single_02382,altronate hydrolase,370,425,370.01,425.01,0.486652351,0.87059128
AMHOT1A3_single_02263,membrane protein,370,301,370.01,301.01,0.569352073,1.229228265
AMHOT1A3_single_02210,dienelactone hydrolase family protein,370,332,370.01,332.01,0.59406697,1.114454384
AMHOT1A3_single_03786,glucosamine-fructose-6-phosphate aminotransferase,367,259,367.01,259.01,0.629835606,1.416972318
AMHOT1A3_single_00688,hypothetical protein,367,305,367.01,305.01,0.664834954,1.203272024
AMHOT1A3_single_00829,hypothetical protein,361,593,361.01,593.01,0.116655087,0.608775569
AMHOT1A3_single_01247,phosphohistidine phosphatase SixA,361,258,361.01,258.01,0.621721915,1.399209333
AMHOT1A3_single_00650,HlyD family secretion protein,358,413,358.01,413.01,0.815332153,0.866831312
AMHOT1A3_single_01492,hypothetical protein,357,147,357.01,147.01,0.256312679,2.428474253
AMHOT1A3_single_00239,septum formation protein Maf,356,285,356.01,285.01,0.599021281,1.249114066
AMHOT1A3_single_01950,family 3 extracellular solute-binding protein,354,351,354.01,351.01,0.415960402,1.008546765
AMHOT1A3_single_01499,succinylglutamate desuccinylase,352,158,352.01,158.01,0.408269077,2.227770394
AMHOT1A3_single_00130,hypothetical protein,345,419,345.01,419.01,0.399400162,0.823393236
AMHOT1A3_single_01536,hypothetical protein,345,341,345.01,341.01,0.601170141,1.011729861
AMHOT1A3_single_02533,cation diffusion facilitator family transporter,345,212,345.01,212.01,0.772563763,1.6273289
AMHOT1A3_single_00805,polyphosphate kinase,341,235,341.01,235.01,0.691411608,1.451044636
AMHOT1A3_single_01792,TonB dependent receptor,340,267,340.01,267.01,0.611675576,1.273398
AMHOT1A3_single_01650,hypothetical protein,339,190,339.01,190.01,1,1.784169254
AMHOT1A3_single_02030,"P-aminobenzoate synthetase, component I",336,423,336.01,423.01,0.707856102,0.794331103
AMHOT1A3_single_01891,protein-export membrane protein secG,333,181,333.01,181.01,1,1.839732611
AMHOT1A3_single_01546,hypothetical protein,332,91,332.01,91.01,0.073275716,3.648060653
AMHOT1A3_single_01274,hypothetical protein,332,407,332.01,407.01,0.390442366,0.815729343
AMHOT1A3_single_03758,purine phosphorylase family protein 1,326,385,326.01,385.01,0.403580349,0.846757227
AMHOT1A3_single_01765,ribosome-binding factor A,324,246,324.01,246.01,0.571882946,1.317060282
AMHOT1A3_single_01429,carbamoyl phosphate synthase small subunit,323,367,323.01,367.01,0.432759601,0.880112259
AMHOT1A3_single_01647,hypothetical protein,322,329,322.01,329.01,0.484138954,0.978724051
AMHOT1A3_single_02876,MarR family transcriptional regulator,322,171,322.01,171.01,0.730689446,1.882989299
AMHOT1A3_single_00698,SOUL heme-binding protein,319,302,319.01,302.01,0.477974949,1.056289527
AMHOT1A3_single_00878,membrane protein,318,265,318.01,265.01,0.583829819,1.199992453
AMHOT1A3_single_01184,chorismate synthase,315,121,315.01,121.01,0.204550463,2.603173291
AMHOT1A3_single_02522,transglycosylase,308,327,308.01,327.01,0.751955299,0.941897801
AMHOT1A3_single_00958,SecY interacting protein Syd,307,82,307.01,82.01,0.051494802,3.743567858
AMHOT1A3_single_01117,prolyl 4-hydroxylase subunit alpha,306,136,306.01,136.01,0.430922473,2.249908095
AMHOT1A3_single_00621,hypothetical protein,305,312,305.01,312.01,0.595447861,0.977564822
AMHOT1A3_single_01333,PqiA family integral membrane protein,300,241,300.01,241.01,0.596301251,1.24480312
AMHOT1A3_single_01208,electron transport complex protein RnfG,298,390,298.01,390.01,0.268753837,0.764108613
AMHOT1A3_single_00409,alpha/beta hydrolase-like protein,298,274,298.01,274.01,0.537807515,1.087588044
AMHOT1A3_single_00556,AsnC family transcriptional regulator,298,335,298.01,335.01,1,0.889555536
AMHOT1A3_single_01688,DNA polymerase III subunit epsilon,296,249,296.01,249.01,0.730886254,1.18874744
AMHOT1A3_single_03107,manganese/divalent cation transport protein,292,433,292.01,433.01,0.280819885,0.674372416
AMHOT1A3_single_00784,ABC transporter substrate-binding protein,292,212,292.01,212.01,0.584620621,1.377340691
AMHOT1A3_single_01252,NHL repeat containing protein,291,89,291.01,89.01,0.16584823,3.269407932
AMHOT1A3_single_00572,hypothetical protein,288,263,288.01,263.01,0.582608699,1.09505342
AMHOT1A3_single_01674,sensor protein,288,214,288.01,214.01,0.615866833,1.345778235
AMHOT1A3_single_04099,Ni-Fe hydrogenase large chain,288,204,288.01,204.01,0.756269793,1.411744522
AMHOT1A3_single_00313,diguanylate cyclase,287,461,287.01,461.01,0.202364573,0.62256784
AMHOT1A3_single_00734,30S ribosomal protein S9,280,395,280.01,395.01,0.179239187,0.70886813
AMHOT1A3_single_00691,hybrid sensor and regulator fused,277,210,277.01,210.01,0.603360089,1.319032427
AMHOT1A3_single_02837,oxidoreductase subunit,277,181,277.01,181.01,0.707856102,1.530357439
AMHOT1A3_single_00345,30S ribosomal protein S17,276,202,276.01,202.01,0.656707906,1.366318499
AMHOT1A3_single_00269,NYN domain protein,271,167,271.01,167.01,0.959485527,1.622717203
AMHOT1A3_single_02554,imidazole glycerol phosphate synthase subunit HisF,270,457,270.01,457.01,0.194179329,0.590818582
AMHOT1A3_single_02019,hypothetical protein,267,171,267.01,171.01,0.722126589,1.56137068
AMHOT1A3_single_00559,SH3 domain-containing protein,261,248,261.01,248.01,0.547207875,1.052417241
AMHOT1A3_single_03442,glycosyltransferase family 2 protein,260,66,260.01,66.01,0.0640392,3.938948644
AMHOT1A3_single_00446,Thioesterase (4HBT) superfamily enzyme,260,89,260.01,89.01,0.14366786,2.921132457
AMHOT1A3_single_01338,glutathione synthase,260,449,260.01,449.01,0.180440601,0.579073963
AMHOT1A3_single_01268,enoyl-CoA hydratase/isomerase,255,218,255.01,218.01,0.571882946,1.169716985
AMHOT1A3_single_02515,Protease II,253,260,253.01,260.01,0.438410553,0.973077959
AMHOT1A3_single_01948,3-deoxy-manno-octulosonate cytidylyltransferase,252,169,252.01,169.01,0.678226604,1.491095201
AMHOT1A3_single_00222,mannose-sensitive agglutinin biogenesis protein MshK,248,297,248.01,297.01,0.462232018,0.83502239
AMHOT1A3_single_03877,general secretion pathway protein J,248,262,248.01,262.01,0.495742387,0.946566925
AMHOT1A3_single_03270,acyltransferase,246,266,246.01,266.01,0.377956691,0.924814857
AMHOT1A3_single_01709,elaA protein,245,220,245.01,220.01,0.570309415,1.113631199
AMHOT1A3_single_04092,NADH oxidoreductase,239,157,239.01,157.01,0.858759429,1.522259729
AMHOT1A3_single_01508,amino acid-binding ACT domain-containing protein,237,198,237.01,198.01,0.520438689,1.19695975
AMHOT1A3_single_01550,phage integrase family protein,236,301,236.01,301.01,0.191779859,0.78406033
AMHOT1A3_single_02875,DnaK suppressor protein,235,122,235.01,122.01,0.613301612,1.926153594
AMHOT1A3_single_01234,hypothetical protein,233,212,233.01,212.01,0.557772915,1.099051932
AMHOT1A3_single_00628,5'-nucleotidase,232,202,232.01,202.01,0.559911237,1.1485075
AMHOT1A3_single_00225,mannose-sensitive agglutinin biogenesis protein MshN,231,205,231.01,205.01,0.588442119,1.126823082
AMHOT1A3_single_02017,RelE-like Cytotoxic translational repressor of toxin-antitoxin stability system,229,92,229.01,92.01,0.238632112,2.48896859
AMHOT1A3_single_00573,hypothetical protein,229,87,229.01,87.01,0.363801395,2.631996322
AMHOT1A3_single_00861,phage transcriptional regulator AlpA,228,117,228.01,117.01,0.727036559,1.948636869
AMHOT1A3_single_01171,lysyl-tRNA ligase,226,70,226.01,70.01,0.085175003,3.228253107
AMHOT1A3_single_01730,metallo-dependent hydrolase,226,255,226.01,255.01,0.349225121,0.886278969
AMHOT1A3_single_00953,signal transduction protein,225,154,225.01,154.01,0.829687601,1.461009025
AMHOT1A3_single_00346,glycoside hydrolase,220,83,220.01,83.01,0.219940708,2.650403566
AMHOT1A3_single_01532,type I DNA specificity S subunit,219,120,219.01,120.01,1,1.824931256
AMHOT1A3_single_00408,TetR family transcriptional regulator,215,197,215.01,197.01,0.639920891,1.091365921
AMHOT1A3_single_03716,ABC transporter ATP-binding protein,212,177,212.01,177.01,0.478781342,1.197728942
AMHOT1A3_single_01442,metal-binding heat shock protein,209,339,209.01,339.01,0.228650713,0.616530486
AMHOT1A3_single_01382,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase",209,244,209.01,244.01,0.269083271,0.856563256
AMHOT1A3_single_02502,HopJ type III effector protein,209,239,209.01,239.01,0.489284102,0.874482239
AMHOT1A3_single_00586,Kef-type K+ transport system NAD-binding protein,207,97,207.01,97.01,0.854035172,2.133903721
AMHOT1A3_single_01271,Eukaryotic aspartyl protease,205,380,205.01,380.01,0.077829752,0.539485803
AMHOT1A3_single_00905,hypothetical protein,205,194,205.01,194.01,0.53245173,1.056698108
AMHOT1A3_single_01106,AsnC family transcriptional regulator,203,222,203.01,222.01,0.325791594,0.914418269
AMHOT1A3_single_00513,hypothetical protein,203,94,203.01,94.01,0.607814348,2.159451122
AMHOT1A3_single_01869,hypothetical protein,202,193,202.01,193.01,0.368939284,1.046629708
AMHOT1A3_single_00761,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,198,305,198.01,305.01,0.109288669,0.64919183
AMHOT1A3_single_00312,trehalase,198,306,198.01,306.01,0.113192158,0.647070357
AMHOT1A3_single_01156,Pyridoxal-phosphate dependent protein,198,337,198.01,337.01,0.119881642,0.587549331
AMHOT1A3_single_01281,Tellurite resistance protein TerB,196,371,196.01,371.01,0.141096709,0.528314601
AMHOT1A3_single_00840,MltA-interacting MipA family protein,195,87,195.01,87.01,0.33759938,2.241236639
AMHOT1A3_single_01957,ribosome protein acetyltransferase,195,168,195.01,168.01,0.591586589,1.16070472
AMHOT1A3_single_01777,integrase,194,82,194.01,82.01,0.334891794,2.365687111
AMHOT1A3_single_00422,transcriptional regulatory protein CpxR,192,101,192.01,101.01,0.947102139,1.900900901
AMHOT1A3_single_01237,von Willebrand factor type A domain-containing protein,192,122,192.01,122.01,0.973141879,1.573723465
AMHOT1A3_single_01260,ABC transporter ATP-binding protein/permease,191,283,191.01,283.01,0.137709173,0.674923148
AMHOT1A3_single_01309,hypothetical protein,191,113,191.01,113.01,0.980248725,1.690204407
AMHOT1A3_single_00983,tetraacyldisaccharide 4'-kinase,190,199,190.01,199.01,0.357675712,0.954776142
AMHOT1A3_single_00753,arabinose 5-phosphate isomerase,190,88,190.01,88.01,0.550604118,2.158959209
AMHOT1A3_single_02118,LysR family transcriptional regulator,189,92,189.01,92.01,0.517862305,2.054233236
AMHOT1A3_single_03639,homocysteine S-methyltransferase family protein,186,279,186.01,279.01,0.101786021,0.666678614
AMHOT1A3_single_01999,Membrane-associated hydrolase of alkaline phosphatase superfamily protein,186,162,186.01,162.01,0.435917703,1.148139004
AMHOT1A3_single_00088,hypothetical protein,186,185,186.01,185.01,0.530746401,1.005405113
AMHOT1A3_single_00434,"peptidase, M23/M37 family protein",185,220,185.01,220.01,0.444189062,0.840916322
AMHOT1A3_single_03774,mercuric reductase,185,89,185.01,89.01,0.465248393,2.078530502
AMHOT1A3_single_00614,ribosomal RNA small subunit methyltransferase D,185,111,185.01,111.01,0.966886218,1.666606612
AMHOT1A3_single_01544,ATP-dependent RecD-like DNA helicase,184,330,184.01,330.01,0.033998342,0.557589164
AMHOT1A3_single_00135,ECF subfamily RNA polymerase sigma-24 factor,184,222,184.01,222.01,0.305777793,0.828836539
AMHOT1A3_single_02134,leucine-responsive transcriptional regulator,183,140,183.01,140.01,0.602613425,1.30712092
AMHOT1A3_single_01241,3-ketoacyl-CoA thiolase,183,112,183.01,112.01,1,1.633871976
AMHOT1A3_single_01331,hypothetical protein,182,60,182.01,60.01,0.127633256,3.032994501
AMHOT1A3_single_01993,glutathione peroxidase,182,201,182.01,201.01,0.454052643,0.905477339
AMHOT1A3_single_01158,diguanylate cyclase,182,140,182.01,140.01,0.484236397,1.299978573
AMHOT1A3_single_02059,thiol-disulfide isomerase and thioredoxin i,182,121,182.01,121.01,0.683213122,1.504090571
AMHOT1A3_single_03111,hypothetical protein,182,111,182.01,111.01,0.990764949,1.63958202
AMHOT1A3_single_01542,Stage II sporulation protein E (SpoIIE),181,195,181.01,195.01,0.432759601,0.92820881
AMHOT1A3_single_00463,signal transduction histidine kinase two-component system,181,227,181.01,227.01,0.435917703,0.797365755
AMHOT1A3_single_02015,signal transduction protein with EFhand domain protein,180,182,180.01,182.01,0.358160185,0.989011593
AMHOT1A3_single_00809,phosphate transporter ATP-binding protein,179,352,179.01,352.01,0.016216479,0.508536689
AMHOT1A3_single_01339,CN5-related N-acetyltransferase,179,148,179.01,148.01,0.586263582,1.209445308
AMHOT1A3_single_01447,hypothetical protein,177,87,177.01,87.01,0.565699324,2.034363866
AMHOT1A3_single_00356,"2',5' RNA ligase",177,126,177.01,126.01,0.66099702,1.404729783
AMHOT1A3_single_02743,hypothetical protein,175,188,175.01,188.01,0.363571378,0.930854742
AMHOT1A3_single_01940,chromosome segregation ATPase,175,127,175.01,127.01,0.612108864,1.377922998
AMHOT1A3_single_00244,hypothetical protein,174,130,174.01,130.01,0.52125051,1.338435505
AMHOT1A3_single_03534,primosome assembly protein PriA,173,162,173.01,162.01,0.424784282,1.067897043
AMHOT1A3_single_01178,lipoprotein,172,178,172.01,178.01,0.511114009,0.966294028
AMHOT1A3_single_00521,RelE/StbE family addiction module toxin,172,99,172.01,99.01,1,1.737299263
AMHOT1A3_single_00824,thioredoxin peroxidase,170,279,170.01,279.01,0.109288669,0.609332999
AMHOT1A3_single_00665,undecaprenyl pyrophosphate phosphatase,170,244,170.01,244.01,0.328421855,0.69673374
AMHOT1A3_single_00965,23S RNA-specific pseudouridylate synthase,170,161,170.01,161.01,0.501154834,1.055897149
AMHOT1A3_single_00500,PhnA protein,170,137,170.01,137.01,0.588388923,1.240858332
AMHOT1A3_single_00511,"ISGsu4, transposase",170,138,170.01,138.01,0.596699364,1.231867256
AMHOT1A3_single_01801,"exopolysaccharide synthesis, exoD",169,160,169.01,160.01,0.54817506,1.056246485
AMHOT1A3_single_01875,iojap domain-containing protein,167,75,167.01,75.01,0.406194596,2.226503133
AMHOT1A3_single_00047,hypothetical protein,167,96,167.01,96.01,0.472659762,1.739506301
AMHOT1A3_single_00929,ATP binding protein of heme exporter A,167,93,167.01,93.01,0.82483613,1.795613375
AMHOT1A3_single_00362,hypothetical protein,167,96,167.01,96.01,1,1.739506301
AMHOT1A3_single_01441,Mg/Co transporter,166,138,166.01,138.01,0.589439314,1.202883849
AMHOT1A3_single_00424,lysophospholipase L2,166,94,166.01,94.01,0.86288363,1.765875971
AMHOT1A3_single_01509,glyoxalase family protein,165,170,165.01,170.01,0.452729665,0.970589965
AMHOT1A3_single_00418,hypothetical protein,164,75,164.01,75.01,0.420833336,2.186508466
AMHOT1A3_single_00153,acriflavine resistance protein B,164,151,164.01,151.01,0.537807515,1.086087014
AMHOT1A3_single_01793,mercuric reductase (Hg(II) reductase),162,160,162.01,160.01,0.54661964,1.012499219
AMHOT1A3_single_00607,"lysine 2,3-aminomutase YodO family protein",162,108,162.01,108.01,0.93273561,1.499953708
AMHOT1A3_single_00750,OstA-like protein,161,138,161.01,138.01,0.451013801,1.16665459
AMHOT1A3_single_01816,hypothetical protein,161,100,161.01,100.01,0.930557163,1.609939006
AMHOT1A3_single_00853,ABC transport protein,160,77,160.01,77.01,0.799554201,2.077782106
AMHOT1A3_single_00286,TrmB family transcriptional regulator,160,99,160.01,99.01,1,1.616099384
AMHOT1A3_single_00925,sodium ABC exporter ATP-binding protein,158,229,158.01,229.01,0.291349142,0.68996987
AMHOT1A3_single_00890,hypothetical protein,158,173,158.01,173.01,0.372529643,0.913299809
AMHOT1A3_single_03416,cell wall-binding protein,158,141,158.01,141.01,0.644502929,1.120558826
AMHOT1A3_single_01693,ABC transporter ATP-binding protein,157,134,157.01,134.01,0.475732685,1.171628983
AMHOT1A3_single_01230,proline/sodium symporter,157,171,157.01,171.01,0.48704037,0.918133442
AMHOT1A3_single_00730,sensor histidine kinase,157,127,157.01,127.01,0.504551621,1.236201874
AMHOT1A3_single_01909,deoxycytidine triphosphate deaminase,156,158,156.01,158.01,0.385097575,0.987342573
AMHOT1A3_single_00610,TonB-dependent receptor,154,185,154.01,185.01,0.27683699,0.83244149
AMHOT1A3_single_01448,TetR family transcriptional regulator,154,107,154.01,107.01,0.752901078,1.439211289
AMHOT1A3_single_01263,30S ribosomal protein S16,152,47,152.01,47.01,0.097427641,3.233567326
AMHOT1A3_single_01880,hypothetical protein,152,93,152.01,93.01,1,1.634340394
AMHOT1A3_single_00749,ABC transporter ATPase,151,199,151.01,199.01,0.247818259,0.75880609
