pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio,resolved_locus_tag,resolution_method
PMED4_09971,,conserved hypothetical protein (NCBI),21.9,11.8,14.0,0.26,0.72,0.4,PMM0886,tier1:pmed4_id
PMED4_10001,leuS,Leucyl-tRNA synthetase (NCBI),14.0,17.5,3.2,0.64,0.14,4.6,PMM0889,tier1:pmed4_id
PMED4_10011,pgi,Phosphoglucose isomerase (PGI) (NCBI),13.3,18.8,5.5,1.1,0.24,4.6,PMM0890,tier1:pmed4_id
PMED4_10031,argC,N-acetyl-gamma-glutamyl-phosphate reductase,18.5,17.8,23.3,2.0,1.1,1.8,PMM0892,tier1:pmed4_id
PMED4_10051,,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,4.6,16.0,11.4,1.5,0.2,7.5,PMM0894,tier1:pmed4_id
PMED4_10081,dnaK,"Molecular chaperone DnaK, heat shock protein hsp70",16.9,23.6,6.7,1.44,0.34,4.2,PMM0897,tier1:pmed4_id
PMED4_10131,rpmB,50S ribosomal protein L28 (NCBI),4.1,19.1,15.0,1.16,0.24,4.8,PMM0902,tier1:pmed4_id
PMED4_10171,psaK,Photosystem I PsaK protein (subunit X) (NCBI),8.6,10.0,1.6,1.36,0.16,8.5,PMM0906,tier1:pmed4_id
PMED4_10181,Dxs,1-deoxy-D-xylulose 5-phosphate synthase (NCBI),4.5,8.3,3.8,2.22,0.16,13.9,PMM0907,tier1:pmed4_id
PMED4_10231,pykF,Pyruvate kinase (NCBI),3.6,8.0,4.4,1.02,0.14,7.3,PMM0912,tier1:pmed4_id
PMED4_10311,glnA,"Glutamine synthetase, glutamate--ammonia ligase",14.8,18.9,4.1,3.1,0.42,7.4,PMM0920,tier1:pmed4_id
PMED4_10371,psb28,possible Photosystem II reaction center Psb28 protein,5.9,15.3,9.4,1.48,0.26,5.7,PMM0926,tier1:pmed4_id
PMED4_10411,pdhB,Pyruvate dehydrogenase E1 beta subunit (NCBI),2.9,2.0,23.1,1.38,0.06,23.0,PMM0930,tier1:pmed4_id
PMED4_10521,,possible cAMP phosphodiesterases class-II (NCBI),14.5,19.6,5.2,1.48,0.32,4.6,PMM0941,tier1:pmed4_id
PMED4_10541,rpsO,30S Ribosomal protein S15 (NCBI),3.4,10.5,7.2,2.18,0.2,10.9,PMM0943,tier1:pmed4_id
PMED4_10571,gatA,Glutamyl-tRNA(Gln) amidotransferase A subunit (NCBI),19.6,22.5,2.9,1.38,0.44,3.1,PMM0946,tier1:pmed4_id
PMED4_10621,,putative Anthranilate synthase component II (NCBI),15.3,21.3,5.9,3.02,0.32,9.4,PMM0952,tier1:pmed4_id
PMED4_10751,ureC,Urease alpha subunit (NCBI),18.4,20.7,2.3,2.24,0.4,5.6,PMM0963,tier1:pmed4_id
PMED4_11071,rpsU,30S Ribosomal protein S21 (NCBI),4.7,6.9,2.1,2.9,0.48,6.0,PMM0987,tier1:pmed4_id
PMED4_11181,,conserved hypothetical protein (NCBI),17.4,18.4,0.9,3.38,0.44,7.7,PMM0996,tier1:pmed4_id
PMED4_11211,,possible Protein of unknown function DUF67 (NCBI),6.3,10.9,4.6,2.78,0.28,9.9,PMM0997,tier1:pmed4_id
PMED4_11321,purT,GAR transformylase 2 (NCBI),12.1,23.9,11.8,0.34,0.48,0.7,PMM1004,tier1:pmed4_id
PMED4_11341,btuE,Glutathione peroxidase (NCBI),4.6,18.2,13.6,2.46,0.38,6.5,PMM1006,tier1:pmed4_id
PMED4_11351,,Conserved hypothetical membrane protein (Katherine,1.5,13.3,11.8,0.5,0.16,3.1,PMM1007,tier1:pmed4_id
PMED4_11871,,conserved hpothetical protein (NCBI),5.2,8.4,3.1,2.0,0.34,5.9,PMM1042,tier1:pmed4_id
PMED4_12011,chlI,"Protoporphyrin IX Magnesium chelatase, ChlI subunit",4.8,14.7,9.9,1.52,0.24,6.3,PMM1055,tier1:pmed4_id
PMED4_12071,trxA,Thioredoxin (NCBI),12.4,15.4,2.9,0.5,0.18,2.8,PMM1061,tier1:pmed4_id
PMED4_12081,guaB,putative IMP dehydrogenase (NCBI),16.0,20.0,3.6,1.4,0.24,5.8,PMM1062,tier1:pmed4_id
PMED4_12091,gyrA,"DNA gyrase/topoisomerase IV, subunit A (NCBI)",19.0,21.6,2.9,1.6,0.14,11.4,PMM1063,tier1:pmed4_id
PMED4_12161,ispA,Polyprenyl synthetase (NCBI),21.6,11.6,14.0,0.56,0.14,4.0,PMM1070,tier1:pmed4_id
PMED4_12191,,Putative glucose 6-phosphate dehydrogenase effector,17.7,4.5,10.9,2.56,0.42,6.1,PMM1073,tier1:pmed4_id
PMED4_12201,zwf,Glucose-6-phosphate dehydrogenase (NCBI),17.2,21.3,4.1,2.38,0.42,5.7,PMM1074,tier1:pmed4_id
PMED4_12251,,possible Villin headpiece domain (NCBI),4.3,4.6,0.3,0.52,0.24,2.2,PMM1079,tier1:pmed4_id
PMED4_12261,prsA,Ribose-phosphate pyrophosphokinase (NCBI),15.5,21.0,5.6,1.96,0.38,5.2,PMM1080,tier1:pmed4_id
PMED4_12301,cad,Orn/Lys/Arg decarboxylases family 1 (NCBI),3.0,1.3,22.3,0.48,1.0,0.5,PMM1084,tier1:pmed4_id
PMED4_12441,psbP,photosystem II oxygen evolving complex protein PsbP,4.7,8.0,3.2,1.34,0.36,3.7,PMM1098,tier1:pmed4_id
PMED4_12471,srmB,putative ATP-dependent RNA helicase (NCBI),24.0,3.6,3.6,1.46,2.04,0.7,PMM1101,tier1:pmed4_id
