Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9313,Q7V989,Q7V989_PROMM Ribonuclease J OS=Prochlorococcus marinus (strain MIT 9313) GN=rnj PE=3 SV=1,ribonuclease J,Cytoplasm,S,1.5e-07,4.41e-10,-8.406952293,PMT0066,tier1:Protein ID
MIT9313,Q7TUU8,Q7TUU8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1186 PE=4 SV=1,peroxiredoxin,Unknown,O,8.15e-08,2.2e-10,-8.531280428,PMT1186,tier1:Protein ID
MIT9313,Q7V512,Q7V512_PROMM Photosystem I PsaL protein (Subunit XI) OS=Prochlorococcus marinus (strain MIT 9313) GN=psaL PE=4 SV=1,hypothetical protein,Thylakoid membrane,C,2.5e-07,6.61e-10,-8.561837895,PMT1768,tier1:Protein ID
MIT9313,Q7V917,Q7V917_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0148 PE=4 SV=1,hypothetical protein,Unknown,S,8.53e-08,2.2e-10,-8.595986118,PMT0148,tier1:Protein ID
MIT9313,Q7V7Q3,DXS_PROMM 1-deoxy-D-xylulose-5-phosphate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=dxs PE=3 SV=1,1-deoxy-D-xylulose-5-phosphate synthase,Cytoplasm,H,9.05e-08,2.2e-10,-8.681959341,PMT0685,tier1:UniProt Annotation
MIT9313,Q7V478,RL1_PROMM 50S ribosomal protein L1 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplA PE=3 SV=1,50S ribosomal protein L1,Cytoplasm,J,1.95e-07,4.41e-10,-8.785463916,PMT2089,tier1:UniProt Annotation
MIT9313,Q7TUW7,Q7TUW7_PROMM Possible Glyceraldehyde 3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1045 PE=4 SV=1,glyceraldehyde-3-phosphate dehydrogenase,Inner membrane,S,1.01e-07,2.2e-10,-8.8399117,PMT1045,tier1:Protein ID
MIT9313,Q7V899,Q7V899_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0464 PE=4 SV=1,AbrB family transciptional regulator,Unknown,K,4.26e-07,8.82e-10,-8.915380945,PMT0464,tier1:Protein ID
MIT9313,Q7V502,RS7_PROMM 30S ribosomal protein S7 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsG PE=3 SV=1,30S ribosomal protein S7,Cytoplasm,J,2.14e-07,4.41e-10,-8.92296744,PMT1780,tier1:UniProt Annotation
MIT9313,Q7V8G1,Q7V8G1_PROMM Acetyl-coenzyme A synthetase OS=Prochlorococcus marinus (strain MIT 9313) GN=acs PE=3 SV=1,acetyl-coenzyme A synthetase,Cytoplasm,I,1.11e-07,2.2e-10,-8.972549469,PMT0389,tier1:Protein ID
MIT9313,Q7V564,Q7V564_PROMM Photosystem I protein PsaD OS=Prochlorococcus marinus (strain MIT 9313) GN=psaD PE=4 SV=1,photosystem I protein PsaD,Inner membrane,H,1.42e-06,2.2e-09,-9.329150142,PMT1710,tier1:Protein ID
MIT9313,Q7V841,Q7V841_PROMM Phosphoribulokinase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbP PE=3 SV=1,phosphoribulokinase,Cytoplasm,C,2.86e-07,4.41e-10,-9.340524931,PMT0532,tier1:Protein ID
MIT9313,Q7V6I0,PSBD_PROMM Photosystem II D2 protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psbD PE=3 SV=1,photosystem II D2 protein,Thylakoid membrane,C,2.21e-07,2.2e-10,-9.967667248,PMT1179,tier1:UniProt Annotation
MIT9313,Q7TUU3,Q7TUU3_PROMM Photosystem II lipoprotein Psb27 OS=Prochlorococcus marinus (strain MIT 9313) GN=psb27 PE=3 SV=1,photosystem II protein Psb27,Thylakoid membrane,M,3.97e-07,2.2e-10,-10.81566415,PMT1260,tier1:Protein ID
MIT9313,Q7V8Y4,PSAE_PROMM Photosystem I reaction center subunit IV OS=Prochlorococcus marinus (strain MIT 9313) GN=psaE PE=3 SV=1,photosystem I reaction center subunit IV,Thylakoid membrane,S,8.1e-07,4.41e-10,-10.84391363,PMT0187,tier1:UniProt Annotation
